SMILES,pka_value,canonical_smiles,MW,logP,TPSA,HBA,HBD,rotatable_bonds,aromatic_rings,FractionCSP3,formal_charge,acid_type,acid_group_count,local_heteroatom_count,nearest_heteroatom_distance,local_conjugation,error
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,7.24,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,349.412,0.3181,112.73,5,3,4,1,0.4375,0,0,1,1,2,1,
CC1(C)[C@H](C(=O)O)[C@@H]1C(=O)O,2.5733333333333333,CC1(C)[C@H](C(=O)O)[C@@H]1C(=O)O,158.153,0.4278,74.6,2,2,2,0,0.714286,0,0,2,2,4,2,
CC1(CC(=O)O)N=N1,3.9,CC1(CC(=O)O)N=N1,114.104,0.6431,62.02,3,1,2,0,0.75,0,0,1,1,2,1,
CC1(CC(C(=O)O)c2ccccc2)N=N1,3.9,CC1(CC(C(=O)O)c2ccccc2)N=N1,204.229,2.4269,62.02,3,1,4,1,0.363636,0,0,1,1,2,1,
CC1(CCC(=O)O)N=N1,4.4,CC1(CCC(=O)O)N=N1,128.131,1.0332,62.02,3,1,3,0,0.8,0,0,1,1,2,1,
CC1(CCCCC(=O)O)N=N1,4.7,CC1(CCCCC(=O)O)N=N1,156.185,1.8134,62.02,3,1,5,0,0.857143,0,0,1,1,2,1,
CC=CC#CC(=O)O,2.67,CC=CC#CC(=O)O,110.112,0.6505,37.3,1,1,0,0,0.166667,0,0,1,1,2,1,
CC=Cc1ccc(C(=O)O)cc1,4.49,CC=Cc1ccc(C(=O)O)cc1,162.188,2.4179,37.3,1,1,2,1,0.1,0,0,1,1,2,1,
CC=Cc1cccc(C(=O)O)c1,4.25,CC=Cc1cccc(C(=O)O)c1,162.188,2.4179,37.3,1,1,2,1,0.1,0,0,1,1,2,1,
CCC#CC#CC(=O)O,1.9,CCC#CC#CC(=O)O,122.123,0.4878,37.3,1,1,0,0,0.285714,0,0,1,1,2,1,
CCC#CC(=O)O,2.61,CCC#CC(=O)O,98.101,0.4844,37.3,1,1,0,0,0.4,0,0,1,1,2,1,
CCC(=O)C(=O)O,2.5,CCC(=O)C(=O)O,102.089,0.0501,54.37,2,1,2,0,0.5,0,0,1,1,2,1,
CCC(=O)O,4.7335,CCC(=O)O,74.079,0.481,37.3,1,1,1,0,0.666667,0,0,1,1,2,1,
CCC(C(=O)O)(C(=O)O)C(C)C,2.19,CCC(C(=O)O)(C(=O)O)C(C)C,174.196,1.208,74.6,2,2,4,0,0.75,0,0,2,2,4,2,
CCC(C(=O)O)(C(=O)O)c1ccccc1,1.9,CCC(C(=O)O)(C(=O)O)c1ccccc1,208.213,1.5036,74.6,2,2,4,1,0.272727,0,0,2,2,4,2,
CCC(C(=O)O)C(=O)O,2.975,CCC(C(=O)O)C(=O)O,132.115,0.1818,74.6,2,2,3,0,0.6,0,0,2,2,4,2,
CCC(C)(C)C(=O)O,4.93,CCC(C)(C)C(=O)O,116.16,1.5072,37.3,1,1,2,0,0.833333,0,0,1,1,2,1,
CCC(C)(O)C(=O)O,3.73,CCC(C)(O)C(=O)O,118.132,0.232,57.53,2,2,2,0,0.8,0,0,1,1,2,1,
CCC(C)C(=O)O,4.761,CCC(C)C(=O)O,102.133,1.1171,37.3,1,1,2,0,0.8,0,0,1,1,2,1,
CCC(C)CC(=O)O,4.766,CCC(C)CC(=O)O,116.16,1.5072,37.3,1,1,3,0,0.833333,0,0,1,1,2,1,
CCC(C)SCC(=O)O,3.768,CCC(C)SCC(=O)O,148.227,1.6027,37.3,2,1,4,0,0.833333,0,0,1,1,2,1,
CCC(CC(=O)O)(CC(=O)O)c1ccccc1,3.89,CCC(CC(=O)O)(CC(=O)O)c1ccccc1,236.267,2.2838,74.6,2,2,6,1,0.384615,0,0,2,2,4,2,
CCC(CC)(C(=O)O)C(=O)O,2.2342,CCC(CC)(C(=O)O)C(=O)O,160.169,0.962,74.6,2,2,4,0,0.714286,0,0,2,2,4,2,
CCC(CC)(C(=O)O)C(CC)(CC)C(=O)O,3.84,CCC(CC)(C(=O)O)C(CC)(CC)C(=O)O,230.304,2.7684,74.6,2,2,7,0,0.833333,0,0,2,2,4,2,
CCC(CC)(C(=O)O)C(CC)(CC)C(=O)OC,5.34,CCC(CC)(C(=O)O)C(CC)(CC)C(=O)OC,244.331,2.8568,63.6,3,1,7,0,0.846154,0,0,1,1,2,1,
CCC(CC)(CC(=O)O)CC(=O)O,3.67,CCC(CC)(CC(=O)O)CC(=O)O,188.223,1.7422,74.6,2,2,6,0,0.777778,0,0,2,2,4,2,
CCC(CC)C(CC)(C(=O)O)C(=O)O,2.15,CCC(CC)C(CC)(C(=O)O)C(=O)O,202.25,1.9882,74.6,2,2,6,0,0.8,0,0,2,2,4,2,
CCC(N)C(=O)O,9.708666666666668,CCC(N)C(=O)O,103.121,-0.1917,63.32,2,2,2,0,0.75,0,0,1,1,2,1,
CCCC(=O)O,4.8175,CCCC(=O)O,88.106,0.8711,37.3,1,1,2,0,0.75,0,0,1,1,2,1,
CCCC(=O)OC(CC(=O)O)C[N+](C)(C)C.[Cl-],3.56,CCCC(=O)OC(CC(=O)O)C[N+](C)(C)C.[Cl-],267.753,-2.1168,63.6,3,1,7,0,0.818182,0,0,1,1,2,1,
CCCC(=O)c1ccccc1C(=O)O,4.45,CCCC(=O)c1ccccc1C(=O)O,192.214,2.3676,54.37,2,1,4,1,0.272727,0,0,1,1,2,1,
CCCC(C(=O)O)C(=O)O,3.0,CCCC(C(=O)O)C(=O)O,146.142,0.5719,74.6,2,2,4,0,0.666667,0,0,2,2,4,2,
CCCC(C)(C)C(=O)O,4.969,CCCC(C)(C)C(=O)O,130.187,1.8973,37.3,1,1,3,0,0.857143,0,0,1,1,2,1,
CCCC(C)C(=O)O,4.782,CCCC(C)C(=O)O,116.16,1.5072,37.3,1,1,3,0,0.833333,0,0,1,1,2,1,
CCCC(CC(=O)O)(CC(=O)O)c1ccccc1,3.88,CCCC(CC(=O)O)(CC(=O)O)c1ccccc1,250.294,2.6739,74.6,2,2,7,1,0.428571,0,0,2,2,4,2,
CCCC(CC(=O)O)CC(=O)O,4.32,CCCC(CC(=O)O)CC(=O)O,174.196,1.3521,74.6,2,2,6,0,0.75,0,0,2,2,4,2,
CCCC(CCC)(C(=O)O)C(=O)O,1.9433333333333331,CCCC(CCC)(C(=O)O)C(=O)O,188.223,1.7422,74.6,2,2,6,0,0.777778,0,0,2,2,4,2,
CCCC(CCC)(CC(=O)O)CC(=O)O,3.65,CCCC(CCC)(CC(=O)O)CC(=O)O,216.277,2.5224,74.6,2,2,8,0,0.818182,0,0,2,2,4,2,
CCCC(O)C(=O)O,3.59,CCCC(O)C(=O)O,118.132,0.232,57.53,2,2,3,0,0.8,0,0,1,1,2,1,
CCCCC#CC#CC(=O)O,1.89,CCCCC#CC#CC(=O)O,150.177,1.268,37.3,1,1,2,0,0.444444,0,0,1,1,2,1,
CCCCC#CC(=O)O,2.6,CCCCC#CC(=O)O,126.155,1.2646,37.3,1,1,2,0,0.571429,0,0,1,1,2,1,
CCCCC(=O)O,4.8,CCCCC(=O)O,102.133,1.2612,37.3,1,1,3,0,0.8,0,0,1,1,2,1,
CCCCC(CC)(C(=O)O)C(=O)O,2.15,CCCCC(CC)(C(=O)O)C(=O)O,188.223,1.7422,74.6,2,2,6,0,0.777778,0,0,2,2,4,2,
CCCCC(CCCC)(C(=O)O)C(=O)O,2.175,CCCCC(CCCC)(C(=O)O)C(=O)O,216.277,2.5224,74.6,2,2,8,0,0.818182,0,0,2,2,4,2,
CCCCCC(=O)O,4.8,CCCCCC(=O)O,116.16,1.6513,37.3,1,1,4,0,0.833333,0,0,1,1,2,1,
CCCCCC=CCC=CCCCCCCCC(=O)O,4.77,CCCCCC=CCC=CCCCCCCCC(=O)O,280.452,5.8845,37.3,1,1,14,0,0.722222,0,0,1,1,2,1,
CCCCCCC(=O)O,4.8,CCCCCCC(=O)O,130.187,2.0414,37.3,1,1,5,0,0.857143,0,0,1,1,2,1,
CCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C.[Cl-],3.6,CCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C.[Cl-],323.861,-0.5564,63.6,3,1,11,0,0.866667,0,0,1,1,2,1,
CCCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C.[Cl-],3.65,CCCCCCCCCC(=O)OC(CC(=O)O)C[N+](C)(C)C.[Cl-],351.915,0.2238,63.6,3,1,13,0,0.882353,0,0,1,1,2,1,
CCCCCCCCCC[N+](C)(C)C(C)C(=O)O.[Br-],1.75,CCCCCCCCCC[N+](C)(C)C(C)C(=O)O.[Br-],338.33,0.6806,37.3,1,1,11,0,0.933333,0,0,1,1,2,1,
CCCCCCSCC(=O)O,3.758,CCCCCCSCC(=O)O,176.281,2.3845,37.3,2,1,7,0,0.875,0,0,1,1,2,1,
CCCCCSCC(=O)O,3.753,CCCCCSCC(=O)O,162.254,1.9944,37.3,2,1,6,0,0.857143,0,0,1,1,2,1,
CCCCNCC(=O)O,10.16,CCCCNCC(=O)O,131.175,0.4607,49.33,2,2,5,0,0.833333,0,0,1,1,2,1,
CCCCOP(=O)(CC(=O)O)OCCCC,3.58,CCCCOP(=O)(CC(=O)O)OCCCC,252.247,2.8975,72.83,4,1,10,0,0.9,0,0,1,1,2,1,
CCCCP(=O)(CCCC)C(C)(O)C(=O)O,2.94,CCCCP(=O)(CCCC)C(C)(O)C(=O)O,250.275,2.7428,74.6,3,2,8,0,0.909091,0,0,1,1,2,1,
CCCCSCC(=O)O,3.739,CCCCSCC(=O)O,148.227,1.6043,37.3,2,1,5,0,0.833333,0,0,1,1,2,1,
CCCC[C@H](N)C(=O)O,9.844333333333331,CCCC[C@H](N)C(=O)O,131.175,0.5885,63.32,2,2,4,0,0.833333,0,0,1,1,2,1,
CCCC[P+](CCCC)(CCCC)CC(=O)O.[Cl-],2.34,CCCC[P+](CCCC)(CCCC)CC(=O)O.[Cl-],296.819,1.4929,37.3,1,1,11,0,0.928571,0,0,1,1,2,1,
CCCCc1ccc(C(O)C(=O)O)cc1,3.58,CCCCc1ccc(C(O)C(=O)O)cc1,208.257,2.1472,57.53,2,2,5,1,0.416667,0,0,1,1,2,1,
CCCN(CC(=O)O)CC(=O)O,2.44,CCCN(CC(=O)O)CC(=O)O,175.184,-0.1324,77.84,3,2,6,0,0.714286,0,0,2,2,4,2,
CCCNCC(=O)O,10.11,CCCNCC(=O)O,117.148,0.0706,49.33,2,2,4,0,0.8,0,0,1,1,2,1,
CCCN[C@@H](C)C(=O)O,10.19,CCCN[C@@H](C)C(=O)O,131.175,0.4591,49.33,2,2,4,0,0.833333,0,0,1,1,2,1,
CCCSCC(=O)O,3.729,CCCSCC(=O)O,134.2,1.2142,37.3,2,1,4,0,0.8,0,0,1,1,2,1,
CCC[C@H](N)C(=O)O,9.819,CCC[C@H](N)C(=O)O,117.148,0.1984,63.32,2,2,3,0,0.8,0,0,1,1,2,1,
CCN(CC)CC(=O)O,10.483333333333334,CCN(CC)CC(=O)O,131.175,0.4128,40.54,2,1,4,0,0.833333,0,0,1,1,2,1,
CCNCC(=O)O,10.165,CCNCC(=O)O,103.121,-0.3195,49.33,2,2,3,0,0.75,0,0,1,1,2,1,
CCN[C@@H](C)C(=O)O,10.22,CCN[C@@H](C)C(=O)O,117.148,0.069,49.33,2,2,3,0,0.8,0,0,1,1,2,1,
CCOC(=O)C(C)(C)C(=O)O,3.49,CCOC(=O)C(C)(C)C(=O)O,160.169,0.6603,63.6,3,1,3,0,0.714286,0,0,1,1,2,1,
CCOC(=O)C(C)SC(C)C(=O)O,3.76,CCOC(=O)C(C)SC(C)C(=O)O,206.263,1.1443,63.6,4,1,5,0,0.75,0,0,1,1,2,1,
CCOC(=O)C(C)SCC(=O)O,3.77,CCOC(=O)C(C)SCC(=O)O,192.236,0.7558,63.6,4,1,5,0,0.714286,0,0,1,1,2,1,
CCOC(=O)C(CC)(C(=O)O)C(C)C,4.07,CCOC(=O)C(CC)(C(=O)O)C(C)C,202.25,1.6865,63.6,3,1,5,0,0.8,0,0,1,1,2,1,
CCOC(=O)C(CC)(CC)C(=O)O,3.790000000000001,CCOC(=O)C(CC)(CC)C(=O)O,188.223,1.4405,63.6,3,1,5,0,0.777778,0,0,1,1,2,1,
CCOC(=O)C(CC)C(=O)O,3.665,CCOC(=O)C(CC)C(=O)O,160.169,0.6603,63.6,3,1,4,0,0.714286,0,0,1,1,2,1,
CCOC(=O)CC(=O)O,3.533333333333333,CCOC(=O)CC(=O)O,132.115,0.0242,63.6,3,1,3,0,0.6,0,0,1,1,2,1,
CCOC(=O)CC[C@H](N)C(=O)O,9.19,CCOC(=O)CC[C@H](N)C(=O)O,175.184,-0.2584,89.62,4,2,5,0,0.714286,0,0,1,1,2,1,
CCOC(=O)CNc1ccc(C(=O)O)cc1,4.88,CCOC(=O)CNc1ccc(C(=O)O)cc1,223.228,1.3598,75.63,4,2,5,1,0.272727,0,0,1,1,2,1,
CCOC(=O)CNc1cccc(C(=O)O)c1,4.3,CCOC(=O)CNc1cccc(C(=O)O)c1,223.228,1.3598,75.63,4,2,5,1,0.272727,0,0,1,1,2,1,
CCOC(=O)CSC(C)(C)C(=O)O,4.59,CCOC(=O)CSC(C)(C)C(=O)O,206.263,1.1459,63.6,4,1,5,0,0.75,0,0,1,1,2,1,
CCOC(=O)CSC(C)C(=O)O,3.71,CCOC(=O)CSC(C)C(=O)O,192.236,0.7558,63.6,4,1,5,0,0.714286,0,0,1,1,2,1,
CCOC(=O)CSCC(=O)O,3.66,CCOC(=O)CSCC(=O)O,178.209,0.3673,63.6,4,1,5,0,0.666667,0,0,1,1,2,1,
CCOC(=O)[C@@H](N)CCC(=O)O,7.838,CCOC(=O)[C@@H](N)CCC(=O)O,175.184,-0.2584,89.62,4,2,5,0,0.714286,0,0,1,1,2,1,
CCOC(=O)c1cc(=O)cc(C(=O)O)o1,1.28,CCOC(=O)c1cc(=O)cc(C(=O)O)o1,212.157,0.5147,93.81,5,1,3,1,0.222222,0,0,1,1,2,1,
CCOC(=S)SCC(=O)O,3.08,CCOC(=S)SCC(=O)O,180.25,1.1256,46.53,4,1,3,0,0.6,0,0,1,1,2,1,
CCOCC(=O)O,3.84,CCOCC(=O)O,104.105,0.1075,46.53,2,1,3,0,0.75,0,0,1,1,2,1,
CCOP(=O)(CC(=O)O)OCC,3.3,CCOP(=O)(CC(=O)O)OCC,196.139,1.3371,72.83,4,1,6,0,0.833333,0,0,1,1,2,1,
CCOP(=O)(OCC)c1ccc(C(=O)O)cc1,3.63,CCOP(=O)(OCC)c1ccc(C(=O)O)cc1,258.21,2.2762,72.83,4,1,6,1,0.363636,0,0,1,1,2,1,
CCOP(=O)(OCC)c1cccc(C(=O)O)c1,3.73,CCOP(=O)(OCC)c1cccc(C(=O)O)c1,258.21,2.2762,72.83,4,1,6,1,0.363636,0,0,1,1,2,1,
CCOc1ccc(C(=O)O)c(C(=O)O)c1,2.74,CCOc1ccc(C(=O)O)c(C(=O)O)c1,210.185,1.4817,83.83,3,2,4,1,0.2,0,0,2,2,4,2,
CCOc1ccc(C(=O)O)c(O)c1,3.2,CCOc1ccc(C(=O)O)c(O)c1,182.175,1.4891,66.76,3,2,3,1,0.222222,0,0,1,1,2,1,
CCOc1nc(NCC(=O)O)c(N)c(C(=O)O)n1,7.33,CCOc1nc(NCC(=O)O)c(N)c(C(=O)O)n1,256.218,-0.3478,147.66,7,4,6,1,0.333333,0,0,2,2,4,2,
CCOc1nc2c(c(C(=O)O)n1)N=C(O)CN2,5.31,CCOc1nc2c(c(C(=O)O)n1)N=C(O)CN2,238.203,0.587,116.93,6,3,3,1,0.333333,0,0,1,1,2,1,
CCSC(=S)SCC(=O)O,2.9400000000000004,CCSC(=S)SCC(=O)O,196.318,1.8422,37.3,4,1,3,0,0.6,0,0,1,1,2,1,
CCSCC(=O)O,3.911000000000001,CCSCC(=O)O,120.173,0.8241,37.3,2,1,3,0,0.75,0,0,1,1,2,1,
CCSCCC(N)C(=O)O,9.02,CCSCCC(N)C(=O)O,163.242,0.5415,63.32,3,2,5,0,0.833333,0,0,1,1,2,1,
CCSc1nc(=O)c(C(=O)O)c[nH]1,6.01,CCSc1nc(=O)c(C(=O)O)c[nH]1,200.219,0.5801,83.05,4,2,3,1,0.285714,0,0,1,1,2,1,
CC[C@H](C)[C@H](N)C(=O)O,9.74575,CC[C@H](C)[C@H](N)C(=O)O,131.175,0.4444,63.32,2,2,3,0,0.833333,0,0,1,1,2,1,
CC[C@H](C)[C@H](NC(=O)CN)C(=O)O,8.0,CC[C@H](C)[C@H](NC(=O)CN)C(=O)O,188.227,-0.4394,92.42,3,3,5,0,0.75,0,0,1,1,2,1,
CCc1ccc(C(=O)O)s1,3.7,CCc1ccc(C(=O)O)s1,156.206,2.0087,37.3,2,1,2,1,0.285714,0,0,1,1,2,1,
CCc1ccc(C(O)C(=O)O)cc1,3.55,CCc1ccc(C(O)C(=O)O)cc1,180.203,1.367,57.53,2,2,3,1,0.3,0,0,1,1,2,1,
CN(C)C(=O)OCC(=O)O,3.01,CN(C)C(=O)OCC(=O)O,147.13,-0.2308,66.84,3,1,2,0,0.6,0,0,1,1,2,1,
CN(C)C(=O)SCC(=O)O,3.52,CN(C)C(=O)SCC(=O)O,163.198,0.4858,57.61,3,1,2,0,0.6,0,0,1,1,2,1,
CN(C)C(=S)NCC(=O)O,3.71,CN(C)C(=S)NCC(=O)O,162.214,-0.4929,52.57,2,2,2,0,0.6,0,0,1,1,2,1,
CN(C)C(=S)OCC(=O)O,2.87,CN(C)C(=S)OCC(=O)O,163.198,-0.0659,49.77,3,1,2,0,0.6,0,0,1,1,2,1,
CN(C)C(=S)SCC(=O)O,3.35,CN(C)C(=S)SCC(=O)O,179.266,0.6507,40.54,3,1,2,0,0.6,0,0,1,1,2,1,
CN(C)C12CCC(C(=O)O)(CC1)C2,3.716,CN(C)C12CCC(C(=O)O)(CC1)C2,183.251,1.3355,40.54,2,1,2,0,0.9,0,0,1,1,2,1,
CN(C)C12CCC(C(=O)O)(CC1)CC2,4.083,CN(C)C12CCC(C(=O)O)(CC1)CC2,197.278,1.7256,40.54,2,1,2,0,0.909091,0,0,1,1,2,1,
CN(C)CC(=O)NCC(=O)O,8.09,CN(C)CC(=O)NCC(=O)O,160.173,-1.2512,69.64,3,2,4,0,0.666667,0,0,1,1,2,1,
CN(C)CC(=O)O,9.848,CN(C)CC(=O)O,103.121,-0.3674,40.54,2,1,2,0,0.75,0,0,1,1,2,1,
CN(C)CC(O)CC(=O)O,3.81,CN(C)CC(O)CC(=O)O,147.174,-0.6164,60.77,3,2,4,0,0.833333,0,0,1,1,2,1,
CN(C)CCC(=O)O,9.85,CN(C)CCC(=O)O,117.148,0.0227,40.54,2,1,3,0,0.8,0,0,1,1,2,1,
CN(C)c1ccc(/N=N/c2ccccc2C(=O)O)cc1,4.82,CN(C)c1ccc(/N=N/c2ccccc2C(=O)O)cc1,269.304,3.8662,65.26,4,1,4,2,0.133333,0,0,1,1,2,1,
CN(C)c1ccc(C(=O)O)cc1,5.03,CN(C)c1ccc(C(=O)O)cc1,165.192,1.4508,40.54,2,1,2,1,0.222222,0,0,1,1,2,1,
CN(C)c1cccc(C(=O)O)c1,5.1,CN(C)c1cccc(C(=O)O)c1,165.192,1.4508,40.54,2,1,2,1,0.222222,0,0,1,1,2,1,
CN(C)c1ccccc1C(=O)O,8.5,CN(C)c1ccccc1C(=O)O,165.192,1.4508,40.54,2,1,2,1,0.222222,0,0,1,1,2,1,
CN(C)c1nc(NCC(=O)O)c(N)c(C(=O)O)n1,9.81,CN(C)c1nc(NCC(=O)O)c(N)c(C(=O)O)n1,255.234,-0.6805,141.67,7,4,5,1,0.333333,0,0,2,2,4,2,
CN(C)c1nc2c(c(C(=O)O)n1)N=C(O)CN2,7.31,CN(C)c1nc2c(c(C(=O)O)n1)N=C(O)CN2,237.219,0.2543,110.94,6,3,2,1,0.333333,0,0,1,1,2,1,
CN(CC(=O)O)C(=O)CN,8.666666666666666,CN(CC(=O)O)C(=O)CN,146.146,-1.5119,83.63,3,2,3,0,0.6,0,0,1,1,2,1,
CN(CC(=O)O)C(=O)CNC(=O)CN,8.4,CN(CC(=O)O)C(=O)CNC(=O)CN,203.198,-2.3957,112.73,4,3,5,0,0.571429,0,0,1,1,2,1,
CN(CC(=O)O)C1CCCCC1,10.71,CN(CC(=O)O)C1CCCCC1,171.24,1.3355,40.54,2,1,3,0,0.888889,0,0,1,1,2,1,
CN1C2CCC1[C@H](C(=O)O)[C@@H](O)C2,9.7,CN1C2CCC1[C@H](C(=O)O)[C@@H](O)C2,185.223,-0.0854,60.77,3,2,1,0,0.888889,0,0,1,1,2,1,
CN1CCC=C(C(=O)O)C1,9.07,CN1CCC=C(C(=O)O)C1,141.17,0.3329,40.54,2,1,1,0,0.571429,0,0,1,1,2,1,
CN1[C@H]2CC[C@@H]1[C@@H](C(=O)O)[C@@H](O)C2,11.03,CN1[C@H]2CC[C@@H]1[C@@H](C(=O)O)[C@@H](O)C2,185.223,-0.0854,60.77,3,2,1,0,0.888889,0,0,1,1,2,1,
CN1[C@H]2CC[C@@H]1[C@@H](C(=O)O)[C@@H](OC(=O)c1ccccc1)C2,11.8,CN1[C@H]2CC[C@@H]1[C@@H](C(=O)O)[C@@H](OC(=O)c1ccccc1)C2,289.331,1.7793,66.84,4,1,3,1,0.5,0,0,1,1,2,1,
CNCC(=O)O,10.058333333333332,CNCC(=O)O,89.094,-0.7096,49.33,2,2,2,0,0.666667,0,0,1,1,2,1,
CN[C@@H](C)C(=O)O,10.19,CN[C@@H](C)C(=O)O,103.121,-0.3211,49.33,2,2,2,0,0.75,0,0,1,1,2,1,
CNc1ccc(C(=O)O)cc1,5.04,CNc1ccc(C(=O)O)cc1,151.165,1.4265,49.33,2,2,2,1,0.125,0,0,1,1,2,1,
CNc1cccc(C(=O)O)c1,5.1,CNc1cccc(C(=O)O)c1,151.165,1.4265,49.33,2,2,2,1,0.125,0,0,1,1,2,1,
CNc1ccccc1C(=O)O,5.34,CNc1ccccc1C(=O)O,151.165,1.4265,49.33,2,2,2,1,0.125,0,0,1,1,2,1,
CO/C=C/C(=O)O,4.85,CO/C=C/C(=O)O,102.089,0.2311,46.53,2,1,2,0,0.25,0,0,1,1,2,1,
COC(=O)C(C(C(=O)O)C(C)(C)C)C(C)(C)C,5.57,COC(=O)C(C(C(=O)O)C(C)(C)C)C(C)(C)C,244.331,2.5686,63.6,3,1,3,0,0.846154,0,0,1,1,2,1,
COC(=O)C(C)(C)C(C)(C)C(=O)O,5.23,COC(=O)C(C)(C)C(C)(C)C(=O)O,188.223,1.2964,63.6,3,1,3,0,0.777778,0,0,1,1,2,1,
COC(=O)C12CCC(C(=O)O)(CC1)C2,4.494,COC(=O)C12CCC(C(=O)O)(CC1)C2,198.218,1.1945,63.6,3,1,2,0,0.8,0,0,1,1,2,1,
COC(=O)C1=C(C(=O)O)C2C=CC1C2,3.02,COC(=O)C1=C(C(=O)O)C2C=CC1C2,194.186,0.7465,63.6,3,1,2,0,0.4,0,0,1,1,2,1,
COC(=O)C1=C(C(=O)O)C2CCC1C2,3.19,COC(=O)C1=C(C(=O)O)C2CCC1C2,196.202,0.9705,63.6,3,1,2,0,0.6,0,0,1,1,2,1,
COC(=O)C1=C(C(=O)O)CC1,3.19,COC(=O)C1=C(C(=O)O)CC1,156.137,0.3344,63.6,3,1,2,0,0.428571,0,0,1,1,2,1,
COC(=O)C1=C(C(=O)O)CCC1,2.94,COC(=O)C1=C(C(=O)O)CCC1,170.164,0.7245,63.6,3,1,2,0,0.5,0,0,1,1,2,1,
COC(=O)C1C(C(=O)O)C1(c1ccccc1)c1ccccc1,5.17,COC(=O)C1C(C(=O)O)C1(c1ccccc1)c1ccccc1,296.322,2.4763,63.6,3,1,4,2,0.222222,0,0,1,1,2,1,
COC(=O)C[C@H](N)C(=O)O,8.62,COC(=O)C[C@H](N)C(=O)O,147.13,-1.0386,89.62,4,2,3,0,0.6,0,0,1,1,2,1,
COC(=O)[C@@H]1CC[C@H](CC1)C(=O)O,4.66,COC(=O)[C@H]1CC[C@H](C(=O)O)CC1,186.207,1.0504,63.6,3,1,2,0,0.777778,0,0,1,1,2,1,
COC(=O)c1ccc(C(=O)O)nc1,3.62,COC(=O)c1ccc(C(=O)O)nc1,181.147,0.5664,76.49,4,1,2,1,0.125,0,0,1,1,2,1,
COC(=O)c1cccc(C(=O)O)n1,2.65,COC(=O)c1cccc(C(=O)O)n1,181.147,0.5664,76.49,4,1,2,1,0.125,0,0,1,1,2,1,
COC(=O)c1ccnc(C(=O)O)c1,3.71,COC(=O)c1ccnc(C(=O)O)c1,181.147,0.5664,76.49,4,1,2,1,0.125,0,0,1,1,2,1,
COC(=O)c1cocc1C(=O)O,3.75,COC(=O)c1cocc1C(=O)O,170.12,0.7644,76.74,4,1,2,1,0.142857,0,0,1,1,2,1,
COC1=C(C=CC(=C1)OC)/C=C/C(=O)O,4.8,COc1ccc(/C=C/C(=O)O)c(OC)c1,208.213,1.8016,55.76,3,1,4,1,0.181818,0,0,1,1,2,1,
COC1=C(C=CC=C1OC)/C=C/C(=O)O,4.37,COc1cccc(/C=C/C(=O)O)c1OC,208.213,1.8016,55.76,3,1,4,1,0.181818,0,0,1,1,2,1,
COC=1C=C(C=C(C1)OC)/C=C/C(=O)O,4.36,COc1cc(/C=C/C(=O)O)cc(OC)c1,208.213,1.8016,55.76,3,1,4,1,0.181818,0,0,1,1,2,1,
COC=1C=C(C=CC1OC)/C=C/C(=O)O,4.53,COc1ccc(/C=C/C(=O)O)cc1OC,208.213,1.8016,55.76,3,1,4,1,0.181818,0,0,1,1,2,1,
COCC(=O)O,3.513333333333333,COCC(=O)O,90.078,-0.2826,46.53,2,1,2,0,0.666667,0,0,1,1,2,1,
COCCN(CCOC)CC(=O)O,8.3,COCCN(CCOC)CC(=O)O,191.227,-0.3342,59.0,4,1,8,0,0.875,0,0,1,1,2,1,
COP(=O)(OC)c1ccc(C(=O)O)cc1,3.61,COP(=O)(OC)c1ccc(C(=O)O)cc1,230.156,1.496,72.83,4,1,4,1,0.222222,0,0,1,1,2,1,
COP(=O)(OC)c1cccc(C(=O)O)c1,3.74,COP(=O)(OC)c1cccc(C(=O)O)c1,230.156,1.496,72.83,4,1,4,1,0.222222,0,0,1,1,2,1,
CO[C@@H](C)[C@H](N)C(=O)O,8.9,CO[C@@H](C)[C@H](N)C(=O)O,133.147,-0.5668,72.55,3,2,3,0,0.8,0,0,1,1,2,1,
CO[C@@H]1CC[C@H](CC1)C(=O)O,4.66,CO[C@H]1CC[C@H](C(=O)O)CC1,158.197,1.2762,46.53,2,1,2,0,0.875,0,0,1,1,2,1,
COc1cc(/C=C/C(=O)O)ccc1O,4.55,COc1cc(/C=C/C(=O)O)ccc1O,194.186,1.4986,66.76,3,2,3,1,0.1,0,0,1,1,2,1,
COc1cc(C(=O)O)cc(OC)c1O,4.34,COc1cc(C(=O)O)cc(OC)c1O,198.174,1.1076,75.99,4,2,3,1,0.222222,0,0,1,1,2,1,
COc1cc(C(=O)O)cc(OC)c1OC,4.166666666666667,COc1cc(C(=O)O)cc(OC)c1OC,212.201,1.4106,64.99,4,1,4,1,0.3,0,0,1,1,2,1,
COc1cc(C(=O)O)cc([N+](=O)[O-])c1O,4.12,COc1cc(C(=O)O)cc([N+](=O)[O-])c1O,213.145,1.0072,109.9,5,2,3,1,0.125,0,0,1,1,2,1,
