cas,smiles,canonical_smiles
92-70-6,O=C(O)C1=CC=2C=CC=CC2C=C1O,O=C(O)c1cc2ccccc2cc1O
79-43-6,O=C(O)C(Cl)Cl,O=C(O)C(Cl)Cl
328-42-7,O=C(O)C(=O)CC(=O)O,O=C(O)CC(=O)C(=O)O
444-27-9,O=C(O)C1NCSC1,O=C(O)C1CSCN1
1918-77-0,O=C(O)CC=1SC=CC1,O=C(O)Cc1cccs1
4294-95-5,O=C(O)C1=CC=C(OC)C=C1N,COc1ccc(C(=O)O)c(N)c1
77-95-2,O=C(O)C1(O)CC(O)C(O)C(O)C1,O=C(O)C1(O)CC(O)C(O)C(O)C1
1521-38-6,O=C(O)C=1C=CC=C(OC)C1OC,COc1cccc(C(=O)O)c1OC
321-14-2,O=C(O)C1=CC(Cl)=CC=C1O,O=C(O)c1cc(Cl)ccc1O
446-32-2,O=C(O)C1=CC=C(F)C=C1N,Nc1cc(F)ccc1C(=O)O
490-11-9,O=C(O)C=1C=NC=CC1C(=O)O,O=C(O)c1ccncc1C(=O)O
121-92-6,O=C(O)C1=CC=CC(=C1)N(=O)=O,O=C(O)c1cccc([N+](=O)[O-])c1
147-71-7,O=C(O)C(O)C(O)C(=O)O,O=C(O)C(O)C(O)C(=O)O
123-93-3,O=C(O)CSCC(=O)O,O=C(O)CSCC(=O)O
505-48-6,O=C(O)CCCCCCC(=O)O,O=C(O)CCCCCCC(=O)O
660-88-8,O=C(O)CCCCN,NCCCCC(=O)O
2305-36-4,O=C(O)C1=CC=C(C=C1N)C,Cc1ccc(C(=O)O)c(N)c1
499-81-0,O=C(O)C1=CN=CC(=C1)C(=O)O,O=C(O)c1cncc(C(=O)O)c1
645-08-9,O=C(O)C1=CC=C(OC)C(O)=C1,COc1ccc(C(=O)O)cc1O
637-44-5,O=C(O)C#CC=1C=CC=CC1,O=C(O)C#Cc1ccccc1
614-19-7,O=C(O)CC(N)C=1C=CC=CC1,NC(CC(=O)O)c1ccccc1
138-41-0,O=C(O)C1=CC=C(C=C1)S(=O)(=O)N,NS(=O)(=O)c1ccc(C(=O)O)cc1
2019-34-3,O=C(O)CCC1=CC=C(Cl)C=C1,O=C(O)CCc1ccc(Cl)cc1
609-99-4,O=C(O)C=1C=C(C=C(C1O)N(=O)=O)N(=O)=O,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
600-18-0,O=C(O)C(=O)CC,CCC(=O)C(=O)O
28954-12-3,O=C(O)C(N)C(O)C,CC(O)C(N)C(=O)O
121-91-5,O=C(O)C1=CC=CC(=C1)C(=O)O,O=C(O)c1cccc(C(=O)O)c1
3235-69-6,O=C(O)CN1CCOCC1,O=C(O)CN1CCOCC1
103-01-5,O=C(O)CNC=1C=CC=CC1,O=C(O)CNc1ccccc1
455-38-9,O=C(O)C=1C=CC=C(F)C1,O=C(O)c1cccc(F)c1
1877-73-2,O=C(O)CC=1C=CC=C(C1)N(=O)=O,O=C(O)Cc1cccc([N+](=O)[O-])c1
590-93-2,O=C(O)C#CC,CC#CC(=O)O
105-43-1,O=C(O)CC(C)CC,CCC(C)CC(=O)O
118-90-1,O=C(O)C=1C=CC=CC1C,Cc1ccccc1C(=O)O
622-47-9,O=C(O)CC1=CC=C(C=C1)C,Cc1ccc(CC(=O)O)cc1
98-73-7,O=C(O)C1=CC=C(C=C1)C(C)(C)C,CC(C)(C)c1ccc(C(=O)O)cc1
1929-29-9,O=C(O)CCC1=CC=C(OC)C=C1,COc1ccc(CCC(=O)O)cc1
5794-88-7,O=C(O)C1=CC(Br)=CC=C1N,Nc1ccc(Br)cc1C(=O)O
492-86-4,O=C(O)C(O)C1=CC=C(Cl)C=C1,O=C(O)C(O)c1ccc(Cl)cc1
122-88-3,O=C(O)COC1=CC=C(Cl)C=C1,O=C(O)COc1ccc(Cl)cc1
541-47-9,O=C(O)C=C(C)C,CC(C)=CC(=O)O
304-55-2,O=C(O)C(S)C(S)C(=O)O,O=C(O)C(S)C(S)C(=O)O
586-38-9,O=C(O)C=1C=CC=C(OC)C1,COc1cccc(C(=O)O)c1
6705-03-9,O=C(O)C1=CC(OC)=CC=C1N,COc1ccc(N)c(C(=O)O)c1
4442-54-0,O=C(O)C1=CC=C2OCCOC2=C1,O=C(O)c1ccc2c(c1)OCCO2
625-45-6,O=C(O)COC,COCC(=O)O
2623-91-8,O=C(O)C(N)CC,CCC(N)C(=O)O
2345-34-8,O=C(O)C1=CC=C(OC(=O)C)C=C1,CC(=O)Oc1ccc(C(=O)O)cc1
53293-00-8,O=C(O)CCCC#C,C#CCCCC(=O)O
303-07-1,O=C(O)C=1C(O)=CC=CC1O,O=C(O)c1c(O)cccc1O
86-55-5,O=C(O)C1=CC=CC=2C=CC=CC21,O=C(O)c1cccc2ccccc12
85-38-1,O=C(O)C1=CC=CC(=C1O)N(=O)=O,O=C(O)c1cccc([N+](=O)[O-])c1O
142-62-1,O=C(O)CCCCC,CCCCCC(=O)O
111-14-8,O=C(O)CCCCCC,CCCCCCC(=O)O
711-02-4,O=C(O)C12CCC(C(=O)O)(CC1)CC2,O=C(O)C12CCC(C(=O)O)(CC1)CC2
619-84-1,O=C(O)C1=CC=C(C=C1)N(C)C,CN(C)c1ccc(C(=O)O)cc1
602-94-8,O=C(O)C=1C(F)=C(F)C(F)=C(F)C1F,O=C(O)c1c(F)c(F)c(F)c(F)c1F
405-50-5,O=C(O)CC1=CC=C(F)C=C1,O=C(O)Cc1ccc(F)cc1
109-52-4,O=C(O)CCCC,CCCCC(=O)O
1918-79-2,O=C(O)C=1SC(=CC1)C,Cc1ccc(C(=O)O)s1
480-63-7,O=C(O)C=1C(=CC(=CC1C)C)C,Cc1cc(C)c(C(=O)O)c(C)c1
874-61-3,O=C(O)C1CCC(=O)CC1,O=C1CCC(C(=O)O)CC1
500-05-0,O=C1OC=C(C=C1)C(=O)O,O=C(O)c1ccc(=O)oc1
6317-37-9,O=C(O)C=1SC(=CC1)N(=O)=O,O=C(O)c1ccc([N+](=O)[O-])s1
619-21-6,O=CC1=CC=CC(=C1)C(=O)O,O=Cc1cccc(C(=O)O)c1
331-25-9,O=C(O)CC=1C=CC=C(F)C1,O=C(O)Cc1cccc(F)c1
619-17-0,O=C(O)C1=CC=C(C=C1N)N(=O)=O,Nc1cc([N+](=O)[O-])ccc1C(=O)O
75-98-9,O=C(O)C(C)(C)C,CC(C)(C)C(=O)O
68-11-1,O=C(O)CS,O=C(O)CS
107-92-6,O=C(O)CCC,CCCC(=O)O
24830-94-2,O=C(O)C(N)C(O)C,CC(O)C(N)C(=O)O
499-06-9,O=C(O)C=1C=C(C=C(C1)C)C,Cc1cc(C)cc(C(=O)O)c1
632-46-2,O=C(O)C=1C(=CC=CC1C)C,Cc1cccc(C)c1C(=O)O
610-72-0,O=C(O)C1=CC(=CC=C1C)C,Cc1ccc(C)c(C(=O)O)c1
99-64-9,O=C(O)C1=CC=CC(=C1)N(C)C,CN(C)c1cccc(C(=O)O)c1
4767-03-7,O=C(O)C(C)(CO)CO,CC(CO)(CO)C(=O)O
498-21-5,O=C(O)CC(C(=O)O)C,CC(CC(=O)O)C(=O)O
142-73-4,O=C(O)CNCC(=O)O,O=C(O)CNCC(=O)O
50-85-1,O=C(O)C1=CC=C(C=C1O)C,Cc1ccc(C(=O)O)c(O)c1
86-59-9,O=C(O)C1=CC=CC2=CC=CN=C21,O=C(O)c1cccc2cccnc12
16642-79-8,O=C(O)CCC1=CC=C(C=C1)N(=O)=O,O=C(O)CCc1ccc([N+](=O)[O-])cc1
133-37-9,O=C(O)C(O)C(O)C(=O)O,O=C(O)C(O)C(O)C(=O)O
7782-24-3,O=C(O)C(C=1C=CC=CC1)C,CC(C(=O)O)c1ccccc1
611-01-8,O=C(O)C1=CC=C(C=C1C)C,Cc1ccc(C(=O)O)c(C)c1
603-79-2,O=C(O)C1=CC=CC(=C1C)C,Cc1cccc(C(=O)O)c1C
91-52-1,O=C(O)C1=CC=C(OC)C=C1OC,COc1ccc(C(=O)O)c(OC)c1
499-80-9,O=C(O)C1=NC=CC(=C1)C(=O)O,O=C(O)c1ccnc(C(=O)O)c1
619-19-2,O=C(O)C1=CC=C(C=C1O)N(=O)=O,O=C(O)c1ccc([N+](=O)[O-])cc1O
79-08-3,O=C(O)CBr,O=C(O)CBr
141-82-2,O=C(O)CC(=O)O,O=C(O)CC(=O)O
601-75-2,O=C(O)C(C(=O)O)CC,CCC(C(=O)O)C(=O)O
80-68-2,O=C(O)C(N)C(O)C,CC(O)C(N)C(=O)O
565-71-9,O=C(O)C(O)CN,NCC(O)C(=O)O
70-49-5,O=C(O)CC(S)C(=O)O,O=C(O)CC(S)C(=O)O
567-61-3,O=C(O)C=1C(O)=CC=CC1C,Cc1cccc(O)c1C(=O)O
2237-36-7,O=C(O)C1=CC=C(OC)C=C1O,COc1ccc(C(=O)O)c(O)c1
1878-65-5,O=C(O)CC=1C=CC=C(Cl)C1,O=C(O)Cc1cccc(Cl)c1
52950-18-2,O=C(O)C(O)C=1C=CC=CC1Cl,O=C(O)C(O)c1ccccc1Cl
16650-55-8,O=C(O)C1=CC=C(Br)C=2C=CC=CC12,O=C(O)c1ccc(Br)c2ccccc12
381-73-7,O=C(O)C(F)F,O=C(O)C(F)F
20485-43-2,O=C(O)C1=NC=CN1C,Cn1ccnc1C(=O)O
6940-50-7,O=C(O)C(O)C1=CC=C(Br)C=C1,O=C(O)C(O)c1ccc(Br)cc1
2510-32-9,O=C(O)C=1OC=NC1C,Cc1ncoc1C(=O)O
99-04-7,O=C(O)C1=CC=CC(=C1)C,Cc1cccc(C(=O)O)c1
50-79-3,O=C(O)C1=CC(Cl)=CC=C1Cl,O=C(O)c1cc(Cl)ccc1Cl
40856-44-8,O=C(O)CC(N)C=1C=CC=CC1,NC(CC(=O)O)c1ccccc1
3128-06-1,O=C(O)CCCC(=O)C,CC(=O)CCCC(=O)O
107-96-0,O=C(O)CCS,O=C(O)CCS
2345-51-9,O=C(O)CC#C,C#CCC(=O)O
1505-50-6,O=C(O)CCC1=CC=C(C=C1)C,Cc1ccc(CCC(=O)O)cc1
10128-71-9,O=C(O)C=1C=CN=CC1O,O=C(O)c1ccncc1O
7170-38-9,O=C(O)CCOC=1C=CC=CC1,O=C(O)CCOc1ccccc1
618-84-8,O=C(O)C1=CC(N)=CC(=C1)N(=O)=O,Nc1cc(C(=O)O)cc([N+](=O)[O-])c1
85-52-9,O=C(O)C=1C=CC=CC1C(=O)C=2C=CC=CC2,O=C(O)c1ccccc1C(=O)c1ccccc1
79-31-2,O=C(O)C(C)C,CC(C)C(=O)O
79-11-8,O=C(O)CCl,O=C(O)CCl
586-42-5,O=C(O)C1=CC=CC(=C1)C(=O)C,CC(=O)c1cccc(C(=O)O)c1
7170-36-7,O=C(O)C=1N=C(C=CC1)C(=O)OC,COC(=O)c1cccc(C(=O)O)n1
3937-96-0,O=C(O)CS(=O)(=O)C1=CC=C(C=C1)C,Cc1ccc(S(=O)(=O)CC(=O)O)cc1
103-04-8,O=C(O)CSC=1C=CC=CC1,O=C(O)CSc1ccccc1
94-74-6,O=C(O)COC1=CC=C(Cl)C=C1C,Cc1cc(Cl)ccc1OCC(=O)O
3147-55-5,O=C(O)C=1C=C(Br)C=C(Br)C1O,O=C(O)c1cc(Br)cc(Br)c1O
1643-26-1,O=C(O)CCC=1C=CC=CC1F,O=C(O)CCc1ccccc1F
626-51-7,O=C(O)CC(C)CC(=O)O,CC(CC(=O)O)CC(=O)O
13041-62-8,O=C(O)C1=CC=C(OC)C=2C=CC=CC12,COc1ccc(C(=O)O)c2ccccc12
6925-00-4,O=C(O)C1=CC=C2N=CC=NC2=C1,O=C(O)c1ccc2nccnc2c1
10421-85-9,O=C(O)C(O)C=1C=CC=CC1Cl,O=C(O)C(O)c1ccccc1Cl
111-17-1,O=C(O)CCSCCC(=O)O,O=C(O)CCSCCC(=O)O
51-44-5,O=C(O)C1=CC=C(Cl)C(Cl)=C1,O=C(O)c1ccc(Cl)c(Cl)c1
89-55-4,O=C(O)C1=CC(Br)=CC=C1O,O=C(O)c1cc(Br)ccc1O
588-32-9,O=C(O)COC=1C=CC=C(Cl)C1,O=C(O)COc1cccc(Cl)c1
16730-20-4,O=C(O)C1=CC=2C=C(C=CC2N1)N(=O)=O,O=C(O)c1cc2cc([N+](=O)[O-])ccc2[nH]1
298-12-4,O=CC(=O)O,O=CC(=O)O
595-37-9,O=C(O)C(C)(C)CC,CCC(C)(C)C(=O)O
627-03-2,O=C(O)COCC,CCOCC(=O)O
119-68-6,O=C(O)C=1C=CC=CC1NC,CNc1ccccc1C(=O)O
138-60-3,O=C1C=C(NC(=C1)C(=O)O)C(=O)O,O=C(O)c1cc(=O)cc(C(=O)O)[nH]1
487-54-7,O=C(O)CNC(=O)C=1C=CC=CC1O,O=C(O)CNC(=O)c1ccccc1O
595-46-0,O=C(O)C(C(=O)O)(C)C,CC(C)(C(=O)O)C(=O)O
7782-26-5,O=C(O)C(C=1C=CC=CC1)C,CC(C(=O)O)c1ccccc1
610-16-2,O=C(O)C=1C=CC=CC1N(C)C,CN(C)c1ccccc1C(=O)O
