cas,smiles
88-50-6,O=S(=O)(O)C=1C=C(Cl)C(N)=CC1Cl
133-74-4,O=S(=O)(O)C1=CC(Cl)=CC=C1N
38880-58-9,O=S(=O)([O-])CCC[N+](C)(C)CCO
247582-62-3,O=S(=O)(O)C1=CN=C(N)C(Br)=C1
181696-35-5,O=S(=O)(O)C1=CC=C(C=C1)C=2C(=NOC2C)C=3C=CC=CC3
503-40-2,O=S(=O)(O)CS(=O)(=O)O
27665-39-0,O=S(=O)(O)CCCCS(=O)(=O)O
2113-68-0,O=S(=O)(O)C=1C=CC(=CC1)C=2C=CC=CC2
106135-28-8,O=S(=O)(O)C1=NC=2C=CC(OC)=CC2N1
3918-73-8,O=S(=O)([O-])CC(O)C[N+]=1C=CC=CC1
119-40-4,O=S(=O)(O)C1=CC(O)=C2C=CC(=CC2=C1)NC=3C=CC=CC3
56990-57-9,O=S(=O)(O)C1=CC=C2C=C(N=NC3=CC(=C4C=CC=NC4=C3O)S(=O)(=O)O)C=CC2=C1
26978-64-3,O=S(=O)(O)CCCCO
64205-92-1,O=S(=O)(O)C1=NCCN1
22356-80-5,O=S(=O)(O)C1=CC=C(C=C1O)C
96-73-1,O=N(=O)C1=CC=C(Cl)C(=C1)S(=O)(=O)O
138-30-7,O=S(=O)(O)C=1C=CC=C(C1)NN
121-18-6,O=N(=O)C1=CC(=CC=C1Cl)S(=O)(=O)O
68922-18-9,O=S(=O)(O)CCC1=NC=CC=C1
4156-16-5,O=S(=O)([O-])C1=CC=CC(=C1)C=2O[N+](=CC2)CC
1357931-55-5,O=C1N=C(NC=2C(=NN(C12)C)CCC)C=3C=C(C=CC3OCC)S(=O)(=O)O
7134-41-0,O=S(=O)(O)C1=CC=C(S)C=C1
98-42-0,O=S(=O)(O)C1=CC=C(OC)C(N)=C1
88-64-2,O=C(NC1=CC=C(C(N)=C1)S(=O)(=O)O)C
98-44-2,O=S(=O)(O)C1=CC=C(C(N)=C1)S(=O)(=O)O
132557-72-3,O=S(=O)(O)C=1C=CC=2N=C(C)C(C2C1)(C)C
3365-90-0,O=S(=O)(O)C=1C=C(C=CC1N)C2=CC=C(N)C(=C2)S(=O)(=O)O
5205-95-8,O=C(NCCC[N+](C)(C)CCCS(=O)(=O)[O-])C(=C)C
83907-40-8,O=S(=O)([O-])CCC[N+]1=CC=CC2=CC(OC)=CC=C21
1184-84-5,O=S(=O)(O)C=C
617-97-0,O=S(=O)(O)C=1C=CC=C(C1)C
2124221-12-9,O=S(=O)(O)CC1CCC(NC)CC1
121-65-3,O=S(=O)(O)C1=CC=C(C=C1)CCCCCCCCCCCC
118-33-2,O=S(=O)(O)C=1C=C2C=C(N)C=CC2=C(C1)S(=O)(=O)O
116-81-4,O=C1C=2C=CC=CC2C(=O)C3=C(N)C(=CC(Br)=C13)S(=O)(=O)O
51583-69-8,O=S(=O)([O-])CCC[N+]=1C=2C=CC=CC2C=CC1C
2958-04-5,O=C(NCCS(=O)(=O)O)CCC(C)C1CCC2C3CC(O)C4CC(O)CCC4(C)C3CCC12C
15909-83-8,O=S(=O)(O)CCCO
121-58-4,O=S(=O)(O)C1=CC=C(C=C1)N(C)C
6378-25-2,O=S(=O)(O)C1=CC(Cl)=C(Cl)C=C1Cl
88-53-9,O=S(=O)(O)C1=CC(Cl)=C(C=C1N)C
84-87-7,O=S(=O)(O)C1=CC=C(O)C=2C=CC=CC21
148-25-4,O=S(=O)(O)C=1C=C(O)C2=C(O)C=C(C=C2C1)S(=O)(=O)O
483-84-1,O=N(=O)C=1C=C(C2=CC=C(C=C2C1O)S(=O)(=O)O)N(=O)=O
80293-60-3,O=C(C=C)NCCC[N+](C)(C)CCCS(=O)(=O)[O-]
32432-55-6,O=S(=O)(O)C=1C(=C(N)C(=C(N)C1C)C)C
62009-34-1,O=S(=O)(O)C=1C=NC=C(Br)C1
22033-09-6,O=S(=O)(O)C=1C=CC=C(Br)C1
153886-69-2,O=S(=O)(O)C1=CC=CC2=CC(=CN=C21)C
101-11-1,O=S(=O)(O)C=1C=CC=C(C1)CN(C=2C=CC=CC2)CC
314291-83-3,O=C1C(=NNC2=CC=C(C=C2)S(=O)(=O)O)C(=NN1C=3C=CC=CC3)C=4C=CC(=CC4)N(=O)=O
19247-73-5,O=S(=O)(O)C1CCCC1
19213-70-8,O=C(NCCS(=O)(=O)O)C
25319-98-6,O=S(=O)(O)C1=CC(Cl)=C(O)C(Cl)=C1
60767-69-3,O=CC1=CC(=CC=C1Cl)S(=O)(=O)O
118-32-1,O=S(=O)(O)C1=CC2=CC=C(O)C=C2C(=C1)S(=O)(=O)O
88992-91-0,O=C(OCC[N+](C)(C)CCCS(=O)(=O)[O-])C=C
148019-49-2,O=S(=O)([O-])CCC[N+]=1C=CN(C1)C
152529-79-8,O=C1NC=2N=C(NC2C(=O)N1CCC)C=3C=CC(=CC3)S(=O)(=O)O
3627-01-8,O=S(=O)(O)C=1C=C(O)C2=C(N=NC3=CC=C(O)C=C3O)C=C(C=C2C1)S(=O)(=O)O
32266-60-7,O=S(=O)(O)C=1C=C(O)C2=C(N=CC=3C=CC=CC3O)C=C(C=C2C1)S(=O)(=O)O
1193111-39-5,O=C(ON1C(=O)CCC1=O)C(CCSSC2=NC=CC=C2)S(=O)(=O)O
618-01-9,O=S(=O)(O)C1=CC=C(C(=C1)C)C
1034190-08-3,O=C(NCCCS(=O)(=O)O)C(N)C(C)C
22346-43-6,O=S(=O)(O)C1=CC(O)=C2C=CC(=CC2=C1)NC
5284-66-2,O=S(=O)(O)CCC
72450-62-5,O=S(=O)(O)C1CCNCC1
93-01-6,O=S(=O)(O)C1=CC=C2C=C(O)C=CC2=C1
115724-21-5,O=S(=O)(O)CCCCN1CCOCC1
111282-24-7,O=S(=O)([O-])CCC[N+]1(C)CCOCC1
179863-07-1,O=S(=O)([O-])CCCC[N+]=1C=CN(C1)C
83623-32-9,O=C(NCCC[N+](C)(C)CCCCS(=O)(=O)[O-])C(=C)C
16066-35-6,O=S(=O)(O)C1=CC=C(C=C1)C(C)C
355-46-4,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
27886-58-4,O=S(=O)(O)C=1C=CC=CC1Cl
63877-57-6,O=S(=O)(O)C=1C(=CC(=CC1C(C)C)C(C)C)C(C)C
2393-24-0,O=S(=O)(O)C1=CC=C(C=C1)CN
54322-31-5,O=S(=O)(O)C1=CC=C(C=C1)CCBr
161308-34-5,O=S(=O)(O)CCCCNC1CCCCC1
112581-51-8,O=S(=O)(O)C1=CN=C2C=CC=CN21
153086-37-4,O=S(=O)(O)C1=CC=C(OC)C(=C1)N(CCC)CCC
90-20-0,O=S(=O)(O)C=1C=C(O)C2=C(N)C=C(C=C2C1)S(=O)(=O)O
54136-26-4,O=S(=O)([O-])CCCC[N+]=1C=2C=CC=CC2C(C1C)(C)C
51036-12-5,O=S(=O)(O)C1CNCCC1
137-50-8,O=S(=O)(O)C=1C=C(C(N)=CC1N)S(=O)(=O)O
54960-65-5,O=S(=O)(O)CCCCNC(CO)(CO)CO
145-74-4,O=S(=O)(O)C1=CC=CC=2C=CC=C(Cl)C21
6654-64-4,O=S(=O)(O)C=1C=C2C(C=CC=C2S(=O)(=O)O)=C(C1)S(=O)(=O)O
90134-00-2,O=S(=O)([O-])CCC[N+]1=CC=C(C=CC=2C=CC3=CC(=CC=C3C2)N(CCCC)CCCC)C=C1
56375-83-8,O=S(=O)(O)C=1C=C(C(=CC1N)C)C
7139-89-1,O=S(=O)(O)C1=CC(N)=C(C=C1N)S(=O)(=O)O
38962-61-7,O=S(=O)(O)C1=CC(N)=CC=C1F
26281-43-6,O=S(=O)(O)C=1C=C(Cl)C=C(Cl)C1O
96-75-3,O=N(=O)C1=CC=C(N)C(=C1)S(=O)(=O)O
29021-67-8,O=S(=O)(O)C=1C=CC(O)=C2N=C(C=CC21)C
105627-80-3,O=S(=O)(O)C1=CC=CC=2C(Cl)=NC=CC21
88-76-6,O=C1N(N=C(C)C1)C2=CC(=CC=C2Cl)S(=O)(=O)O
131-27-1,O=S(=O)(O)C1=CC=CC=2C1=CC(N)=CC2S(=O)(=O)O
3682-32-4,O=NC=1C=C(C=2C=CC=CC2C1O)S(=O)(=O)O
91-30-5,O=S(=O)(O)C1=CC(N)=CC=C1NC=2C=CC=CC2
52084-84-1,O=S(=O)(O)C=1C(N)=CC=C2C1C=CC=C2CN
178861-30-8,O=S(=O)(O)C1=CC=C(C(N=C2C=CC3=NC=4C=CC=CC4SC3=C2)=C1)S(=O)(=O)O
190598-55-1,O=C1NC2CSC(CCCCC(=O)ON3C(=O)CC(C3=O)S(=O)(=O)O)C2N1
26978-65-4,O=S(=O)(O)CCBr
827026-60-8,O=C(NC1=NN=C(S1)S(=O)(=O)O)C
138-42-1,O=N(=O)C1=CC=C(C=C1)S(=O)(=O)O
25679-39-4,O=S(=O)(O)C=1C=C(C(O)=C(C1)C(C)(C)C)C(C)(C)C
17624-08-7,O=S(=O)(O)C1=CN=C(Cl)C=C1
97-20-1,O=S(=O)(O)C=1C=CC=C(C1)N(CC)CC
132-87-6,O=C(NC=1C=CC2=C(O)C=C(C=C2C1)S(=O)(=O)O)C=3C=CC=CC3
98-69-1,O=S(=O)(O)C1=CC=C(C=C1)CC
757124-72-4,O=S(=O)(O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
6602-56-8,O=S(=O)(O)C1=CC=CN=C1Cl
941-57-1,O=S(=O)(O)C1=NC=2C=CC=CC2S1
5625-56-9,O=S(=O)(O)CCCN1CCN(CC1)CCCS(=O)(=O)O
3888-84-4,O=N(=O)C1=CC(=CC=C1F)S(=O)(=O)O
3771-14-0,O=S(=O)(O)C=1C=C(O)C=2C=CC=CC2C1
145708-16-3,O=S(=O)(O)C=1C=CC=2N=CSC2C1
160788-56-7,O=S(=O)([O-])CCC[N+]1(C)CCCCC1
439937-61-8,O=S(=O)([O-])CCCC[N+]=1C=CN(C1)CCCC
79-84-5,O=S(=O)(O)C=1SC=CC1
77337-76-9,O=C(NCCCS(=O)(=O)O)C
72372-71-5,O=S(=O)(O)CCCCCCN
10595-80-9,O=C(OCCS(=O)(=O)O)C(=C)C
40741-48-8,O=S(=O)(O)C1=CN=C(N)C(=C1)C
40828-51-1,O=C1N=CC(=CN1)S(=O)(=O)O
90331-19-4,O=S(=O)(O)C1=NC=2C=CC=CC2N1CC
192329-80-9,O=S(=O)(O)C1=CC=C(OC=2C=CN=CC2)C=C1
648927-86-0,O=S(=O)(O)CCC(N)CSSCC(N)CCS(=O)(=O)O
1513-44-6,O=S(=O)(O)C1=CC=C(C=C1N)C(F)(F)F
300707-15-7,O=S(=O)(O)C1=NC=2C=CC=CC2N1CCC
119225-23-9,O=C(OCC=1C=CC=CC1)NCCS(=O)(=O)O
119-19-7,O=S(=O)(O)C1=CC(O)=C2C=C(C=CC2=C1)NC=3C=CC=CC3
6613-65-6,O=C(OCC[N+](C)(C)CCCCS(=O)(=O)[O-])C(=C)C
375-92-8,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
109787-11-3,O=S(=O)(O)C1=CC=C(C=C1)C(F)(F)F
80-82-0,O=N(=O)C=1C=CC=CC1S(=O)(=O)O
63155-80-6,O=C(NCCS(=O)(=O)O)CCCCCCCCCCCCCCCCC
34322-51-5,O=S(=O)(O)C=1C=CC2=CC(=CC=C2C1)N(C)C
98-47-5,O=N(=O)C1=CC=CC(=C1)S(=O)(=O)O
104-23-4,O=S(=O)(O)C1=CC=C(N=NC2=CC=C(N)C=C2)C=C1
96-93-5,O=N(=O)C1=CC(=CC(N)=C1O)S(=O)(=O)O
4329-93-5,O=S(=O)([O-])C=1C=CC=C[N+]1C
4443-24-7,O=C1C=2C=CC=CC2C(=O)N1CCS(=O)(=O)O
117354-64-0,O=S(=O)(O)CC(O)(C1=CC=C(Cl)C=C1)CN
56670-83-8,O=C1C=2C=CC=CC2C(=O)C3=C(O)C(=CC=C13)S(=O)(=O)O
76578-90-0,O=S(=O)(O)C=1C=CC2=C(C1)C(C(=[N+]2CCCS(=O)(=O)[O-])C)(C)C
135661-44-8,O=C(ON1C(=O)CC(C1=O)S(=O)(=O)O)CCCCCCCC=CCCCCCCCC
516-90-5,O=C(NCCS(=O)(=O)O)CCC(C)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C
3944-72-7,O=S(=O)(O)CCCCCCCC
37043-68-8,O=S(=O)(O)CCCCCN
20677-52-5,O=S(=O)(O)C=1C=CC=C(Cl)C1
1132-60-1,O=S(=O)(O)CCCN1CCCCC1
27503-78-2,O=S(=O)(O)C=1C=CC=2N=CNC2C1
83863-63-2,O=S(=O)(O)C=1C=CC=2OC=3C=CC=CC3C2C1
148-75-4,O=S(=O)(O)C1=CC=C2C=C(O)C(=CC2=C1)S(=O)(=O)O
