SMILES,pka_value
N[C@@H](Cc1cn(Cc2ccccc2)cn1)C(=O)O,9.3
O=C(CCNC(=O)OCc1ccccc1)N[C@@H](Cc1cnc[nH]1)C(=O)O,6.964
O=C(O)Cc1c[nH]cn1,7.46
O=C(O)Cc1c[nH]cn1,7.4
CC[C@H](C)[C@H](N)C(=O)O,9.785
NCCCC[C@H](N)C(=O)O,10.54
CSCC[C@H](N)C(=O)O,9.28
CSCC[C@H](N)C(=O)O,9.04
CCCC[C@H](N)C(=O)O,9.879
CCC[C@H](N)C(=O)O,9.869
NC(CC(=O)O)c1ccccc1,9.31
O=C(O)Cc1ccccn1,5.68
CN(CC(=O)O)C(=O)CNC(=O)CN,8.4
N[C@@H](CO)C(=O)O,9.26
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,9.41
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,9.4
CC(C)[C@H](N)C(=O)O,9.736
CC1(C)S[C@@H]2[C@H](N)C(=O)N2[C@H]1C(=O)O,4.9
CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,7.24
O=CO,3.737
O=CO,3.739
O=CO,3.71
O=CO,3.76
O=CO,3.56
O=CO,3.75
O=CO,4.2
O=CO,3.75
O=CO,4.21
O=CO,3.772
O=CO,3.76
O=CO,3.61
O=CO,3.49
O=CO,3.38
O=C(O)[GeH3],3.5
O=CC(=O)O,3.46
O=CC(=O)O,2.98
O=C(O)C(=O)O,1.252
O=C(O)C(=O)O,1.1
O=C(O)C(=O)O,1.13
O=C(O)C(=O)O,1
O=C(O)C(=O)O,1.2
O=C(O)C(=O)O,1.37
O=C(O)C(=O)O,1.08
O=C(O)C(=O)O,1.26
O=C(O)C(=O)O,1.32
CC(=O)O,4.757
CC(=O)O,4.53
CC(=O)O,4.48
CC(=O)O,4.73
CC(=O)O,5.25
CC(=O)O,4.76
CC(=O)O,4.75
CC(=O)O,4.76
CC(=O)O,4.76
CC(=O)O,4.58
CC(=O)O,4.42
CC(=O)O,4.28
CC(=O)O,4.65
CC(=O)O,4.56
CC(=O)O,4.41
O=C(O)CO,3.62
O=C(O)CO,3.83
O=C(O)CO,4.26
O=C(O)CO,4.27
O=C(O)C(Cl)(Cl)Cl,0.512
O=C(O)C(Cl)(Cl)Cl,-0.51
O=C(O)C(Br)(Br)Br,0.72
O=C(O)C(F)(F)F,0.52
O=C(O)C(Cl)Cl,1.35
O=C(O)C(Cl)Cl,1.3
O=C(O)C(Br)Br,1.48
O=C(O)C(F)F,1.13
O=C(O)C(F)F,1.34
O=C(O)CCl,2.866
O=C(O)CCl,2.84
O=C(O)CCl,3.33
O=C(O)CCl,2.7
O=C(O)CBr,2.92
O=C(O)CBr,3.46
O=C(O)CBr,2.901
O=C(O)CI,3.19
O=C(O)CI,3.61
O=C(O)CI,3.174
O=C(O)CF,2.72
O=C(O)CF,3.13
O=C(O)CF,2.584
O=C(O)CS,3.581
O=C(O)CS,3.677
O=C(O)CS,3.55
O=C(O)CS,3.42
NCC(=O)O,9.6
NCC(=O)O,9.7
O=C(O)C(F)(F)Cl,0.46
C#CC(=O)O,1.84
C#CC(=O)O,1.887
C=CC(=O)O,4.25
C=CC(=O)O,4.247
CC(=O)C(=O)O,2.39
CC(=O)C(=O)O,2.6
CC(=O)C(=O)O,2.105
O=C(O)CC(=O)O,2.847
O=C(O)CC(=O)O,2.847
O=C(O)CC(=O)O,2.61
O=C(O)CC(=O)O,2.87
O=C(O)CC(=O)O,2.87
O=C(O)CC(=O)O,3.37
O=C(O)CC(=O)O,3.3
O=C(O)C(O)C(=O)O,2.37
CCC(=O)O,4.875
CCC(=O)O,4.88
CCC(=O)O,4.9
CCC(=O)O,4.86
CCC(=O)O,4.69
CCC(=O)O,4.89
CCC(=O)O,4.7
CCC(=O)O,4.69
CCC(=O)O,4.5
CCC(=O)O,4.35
COCC(=O)O,3.57
COCC(=O)O,3.57
COCC(=O)O,3.4
O=C(O)C#CCl,1.845
O=C(O)C#CBr,1.855
N#CCC(=O)O,2.471
N#CCC(=O)O,2.33
N#CCC(=O)O,2.5
N#CCC(=O)O,2.94
O=C(O)c1c[nH]nn1,3.22
Cl/C=C/C(=O)O,3.79
Cl\C=C/C(=O)O,3.45
Br/C=C/C(=O)O,3.71
Br\C=C/C(=O)O,3.32
I/C=C/C(=O)O,3.74
I\C=C/C(=O)O,3.42
[N+](=O)([O-])/C=C/C(=O)O,2.58
CC(Cl)C(=O)O,2.89
O=C(O)CCCl,4.08
O=C(O)CCCl,3.93
CC(Br)C(=O)O,3.01
O=C(O)CCBr,4.01
O=C(O)CCBr,4.07
CSCC(=O)O,3.655
O=C(O)CCS,4.38
CNCC(=O)O,9.73
CC(N)C(=O)O,9.59
CC(N)C(=O)O,9.73
CC(N)C(=O)O,9.84
CC(N)C(=O)O,10.2
CC(N)C(=O)O,10.17
N[C@@H](CO)C(=O)O,9.12
NCC(N)C(=O)O,9.51
O=C(O)CSC(F)(F)F,2.95
O=C(O)CS(=O)C(F)(F)F,2.06
O=C(O)CS(=O)(=O)C(F)(F)F,1.88
O=C(O)CCN(F)F,3.74
C=C=CC(=O)O,3.69
CC#CC(=O)O,2.59
CC#CC(=O)O,2.616
C#CCC(=O)O,3.32
O=C(O)/C=C/C(=O)O,3.095
O=C(O)/C=C/C(=O)O,3.557
