cas,smiles,input_canonical_smiles,pKa,polar,h_nbo_charge,o_nbo_charge,total_nbo_charge,dipole_moment_debye,homo_ev,lumo_ev,gap_ev,canonical_smiles,MW,logP,TPSA,HBA,HBD,rotatable_bonds,aromatic_rings,FractionCSP3,formal_charge,acid_type,acid_group_count,acid_center_aromatic_flag,local_heteroatom_count,local_halogen_count,nearest_heteroatom_distance,local_conjugation,local_formal_charge,error
50-30-6,O=C(O)C=1C(Cl)=CC=CC1Cl,O=C(O)c1c(Cl)cccc1Cl,1.707,150.48271266666666,0.53466,-0.68417,0.057700000000000085,4.160506279288615,-8.649955079694,0.082178382851,8.732133462544999,O=C(O)c1c(Cl)cccc1Cl,191.013,2.6916,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,
535-80-8,O=C(O)C=1C=CC=C(Cl)C1,O=C(O)c1cccc(Cl)c1,3.8295,137.17541343333332,0.53137,-0.70093,-0.010519999999999974,0.7952307841123859,-8.6028793835575,-0.671576983034,7.9313024005235,O=C(O)c1cccc(Cl)c1,156.568,2.0382,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,
89-77-0,O=C(O)C1=CC=C(Cl)C=C1N,Nc1cc(Cl)ccc1C(=O)O,4.44,159.71965696666666,0.52778,-0.71067,-0.06090999999999991,1.1393226979218838,-7.467892513122001,-0.4606887488965,7.007203764225501,Nc1cc(Cl)ccc1C(=O)O,171.583,1.6204,63.32,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
394-31-0,O=C(O)C1=CC(O)=CC=C1N,Nc1ccc(O)cc1C(=O)O,5.37,150.55937546666667,0.53251,-0.71674,-0.05701999999999996,4.0146968366241556,-6.988972136242,-0.414157280461,6.574814855781001,Nc1ccc(O)cc1C(=O)O,153.137,0.6726,83.55,3,3,1,1,0.0,0,0,1,0,1,0,2,1,0,
91-40-7,O=C(O)C=1C=CC=CC1NC=2C=CC=CC2,O=C(O)c1ccccc1Nc1ccccc1,3.925,247.14694866666665,0.52759,-0.70659,-0.015519999999999978,3.3480873121828827,-7.0205373429,-0.365176787371,6.655360555529,O=C(O)c1ccccc1Nc1ccccc1,213.236,3.1284,49.33,2,2,3,2,0.0,0,0,1,0,1,0,2,1,0,
2941-78-8,O=C(O)C1=CC(=CC=C1N)C,Cc1ccc(N)c(C(=O)O)c1,5.13,162.40279056666668,0.53158,-0.7199,-0.06612999999999991,4.8002390502973915,-7.135369387811,-0.314019383477,6.8213500043340005,Cc1ccc(N)c(C(=O)O)c1,151.165,1.27542,63.32,2,2,1,1,0.125,0,0,1,0,1,0,2,1,0,
585-76-2,O=C(O)C=1C=CC=C(Br)C1,O=C(O)c1cccc(Br)c1,3.813,146.99218556666668,0.5313,-0.70013,-0.010360000000000036,4.526704160865828,-8.511177015939,-0.6811009678015,7.830076048137499,O=C(O)c1cccc(Br)c1,201.019,2.1473,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,
92-70-6,O=C(O)C1=CC=2C=CC=CC2C=C1O,O=C(O)c1cc2ccccc2cc1O,2.75,217.11219800000003,0.53312,-0.69079,-0.011079999999999979,4.4405254441338355,-7.371019982344,-0.9363437595705001,6.434676222773501,O=C(O)c1cc2ccccc2cc1O,188.182,2.2436,57.53,2,2,1,2,0.0,0,0,1,0,1,0,2,1,0,
4294-95-5,O=C(O)C1=CC=C(OC)C=C1N,COc1ccc(C(=O)O)c(N)c1,4.88,169.80638216666668,0.52562,-0.71674,-0.08411999999999997,3.4367120187760856,-7.373196893147999,-0.1564654640375,7.216731429110499,COc1ccc(C(=O)O)c(N)c1,167.164,0.9756,72.55,3,2,2,1,0.125,0,0,1,0,1,0,2,1,0,
321-14-2,O=C(O)C1=CC(Cl)=CC=C1O,O=C(O)c1cc(Cl)ccc1O,2.695,145.5367148,0.52974,-0.70995,-0.020710000000000006,3.3660935845576248,-8.0183788326835,-0.627494539253,7.390884293430499,O=C(O)c1cc(Cl)ccc1O,172.567,1.7438,57.53,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
446-32-2,O=C(O)C1=CC=C(F)C=C1N,Nc1cc(F)ccc1C(=O)O,4.6,141.65192866666666,0.53306,-0.71935,-0.060820000000000096,5.094082224503252,-7.470885765477501,-0.2800051521645,7.190880613313001,Nc1cc(F)ccc1C(=O)O,155.128,1.1061,63.32,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
121-92-6,O=C(O)C1=CC=CC(=C1)N(=O)=O,O=C(O)c1cccc([N+](=O)[O-])c1,3.293333333333333,149.55030553333333,0.53281,-0.69756,0.0005199999999999649,8.09320844782834,-9.286429376013501,-1.8389454016790001,7.447483974334501,O=C(O)c1cccc([N+](=O)[O-])c1,167.12,1.293,80.44,3,1,2,1,0.0,0,0,1,0,1,0,2,1,0,
2305-36-4,O=C(O)C1=CC=C(C=C1N)C,Cc1ccc(C(=O)O)c(N)c1,5.07,163.182411,0.52554,-0.71554,-0.08102999999999994,2.852648581581685,-7.2706099715095,-0.21633051114750002,7.054279460362,Cc1ccc(C(=O)O)c(N)c1,151.165,1.27542,63.32,2,2,1,1,0.125,0,0,1,0,1,0,2,1,0,
645-08-9,O=C(O)C1=CC=C(OC)C(O)=C1,COc1ccc(C(=O)O)cc1O,4.47,157.61752199999998,0.52831,-0.70822,-0.040690000000000004,1.716707922157989,-7.6907537566815,-0.33170678375949997,7.359046972922,COc1ccc(C(=O)O)cc1O,168.148,1.099,66.76,3,2,2,1,0.125,0,0,1,0,1,0,2,1,0,
138-41-0,O=C(O)C1=CC=C(C=C1)S(=O)(=O)N,NS(=O)(=O)c1ccc(C(=O)O)cc1,3.47,169.743888,0.53249,-0.6974,-0.00031999999999998696,7.8506337897013125,-9.1781280635145,-1.07212857097,8.1059994925445,NS(=O)(=O)c1ccc(C(=O)O)cc1,201.203,0.0322,97.46,3,2,2,1,0.0,0,0,1,0,1,0,2,1,0,
609-99-4,O=C(O)C=1C=C(C=C(C1O)N(=O)=O)N(=O)=O,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,0.7,191.72427666666667,0.53289,-0.68322,0.02686999999999995,5.1454519587690255,-9.058125855444,-2.17146852699,6.8866573284540005,O=C(O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,228.116,0.9068,143.81,6,2,3,1,0.0,0,0,1,0,1,0,2,1,0,
121-91-5,O=C(O)C1=CC=CC(=C1)C(=O)O,O=C(O)c1cccc(C(=O)O)c1,3.7,149.42000456666668,0.53144,-0.70109,-0.011829999999999896,1.8476000027062134,-9.0714594341185,-0.832124154829,8.2393352792895,O=C(O)c1cccc(C(=O)O)c1,166.132,1.083,74.6,2,2,2,1,0.0,0,0,2,0,2,0,4,2,0,
455-38-9,O=C(O)C=1C=CC=C(F)C1,O=C(O)c1cccc(F)c1,3.626714285714286,120.82449113333332,0.53112,-0.70053,-0.012559999999999905,4.42784301663914,-8.722881591628001,-0.6489915334425,8.073890058185501,O=C(O)c1cccc(F)c1,140.113,1.5239,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,
118-90-1,O=C(O)C=1C=CC=CC1C,Cc1ccccc1C(=O)O,3.914,141.69548656666666,0.52795,-0.69672,-0.019449999999999967,3.3290533519305456,-8.4379783901545,-0.3289856452545,8.1089927449,Cc1ccccc1C(=O)O,136.15,1.69322,37.3,1,1,1,1,0.125,0,0,1,0,1,0,2,1,0,
98-73-7,O=C(O)C1=CC=C(C=C1)C(C)(C)C,CC(C)(C)c1ccc(C(=O)O)cc1,4.382,195.37081533333333,0.52834,-0.7066,-0.034539999999999904,3.9128560323630617,-8.4749858738225,-0.422864923677,8.0521209501455,CC(C)(C)c1ccc(C(=O)O)cc1,178.231,2.6823,37.3,1,1,1,1,0.363636,0,0,1,0,1,0,2,1,0,
5794-88-7,O=C(O)C1=CC(Br)=CC=C1N,Nc1ccc(Br)cc1C(=O)O,4.41,168.07494816666667,0.52843,-0.70996,-0.0557200000000001,2.9499203379074492,-7.277684931622501,-0.4917097278535,6.785975203769,Nc1ccc(Br)cc1C(=O)O,216.034,1.7295,63.32,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
586-38-9,O=C(O)C=1C=CC=C(OC)C1,COc1cccc(C(=O)O)c1,3.8745,147.3419151,0.52956,-0.70287,-0.022109999999999963,1.0836493251970398,-7.9625954933309995,-0.5352479439335001,7.427347549397499,COc1cccc(C(=O)O)c1,152.149,1.3934,46.53,2,1,2,1,0.125,0,0,1,0,1,0,2,1,0,
6705-03-9,O=C(O)C1=CC(OC)=CC=C1N,COc1ccc(N)c(C(=O)O)c1,5.57,167.81430419999998,0.53199,-0.71758,-0.0615,3.6148167837388385,-6.956862701883,-0.39021126161700004,6.566651440266,COc1ccc(N)c(C(=O)O)c1,167.164,0.9756,72.55,3,2,2,1,0.125,0,0,1,0,1,0,2,1,0,
4442-54-0,O=C(O)C1=CC=C2OCCOC2=C1,O=C(O)c1ccc2c(c1)OCCO2,4.35,168.43365453333334,0.5286,-0.70736,-0.03702000000000005,5.722613924597744,-7.779734985795,-0.374428658288,7.405306327507,O=C(O)c1ccc2c(c1)OCCO2,180.159,1.156,55.76,3,1,1,1,0.222222,0,0,1,0,1,0,2,1,0,
2345-34-8,O=C(O)C1=CC=C(OC(=O)C)C=C1,CC(=O)Oc1ccc(C(=O)O)cc1,3.92,162.20348466666667,0.53006,-0.70259,-0.02027000000000012,4.449977219042812,-8.880707624918,-0.5616429874319999,8.319064637486,CC(=O)Oc1ccc(C(=O)O)cc1,180.159,1.3101,63.6,3,1,2,1,0.111111,0,0,1,0,1,0,2,1,0,
