cas,smiles,input_canonical_smiles,pka_value,canonical_smiles,MW,logP,TPSA,HBA,HBD,rotatable_bonds,aromatic_rings,FractionCSP3,formal_charge,acid_type,acid_group_count,acid_center_aromatic_flag,local_heteroatom_count,local_halogen_count,nearest_heteroatom_distance,local_conjugation,local_formal_charge,error,polar,h_nbo_charge,o_nbo_charge,total_nbo_charge,dipole_moment_debye,homo_ev,lumo_ev,gap_ev
490-79-9,O=C(O)C1=CC(O)=CC=C1O,O=C(O)c1cc(O)ccc1O,2.9655,O=C(O)c1cc(O)ccc1O,154.121,0.796,77.76,3,3,1,1,0.0,0,0,1,0,1,0,2,1,0,,138.72973046666667,0.54269,-0.72334,-0.01910999999999996,1.6906803512195911,-7.546261302066,-0.5619151012825001,6.9843462007835
89-00-9,O=C(O)C1=NC=CC=C1C(=O)O,O=C(O)c1cccnc1C(=O)O,4.75,O=C(O)c1cccnc1C(=O)O,167.12,0.478,87.49,3,2,2,1,0.0,0,0,2,0,2,0,4,2,0,,137.82111076666666,0.5368,-0.69334,0.022220000000000018,2.7353049555762516,-9.260034332515,-0.8051848836295,8.454849448885499
55-22-1,O=C(O)C=1C=CN=CC1,O=C(O)c1ccncc1,4.876666666666666,O=C(O)c1ccncc1,123.111,0.7798,50.19,2,1,1,1,0.0,0,0,1,0,1,0,2,1,0,,112.76743976666667,0.53319,-0.6951,0.007290000000000019,2.8886713935648687,-9.0371730889555,-0.938248556524,8.0989245324315
124-04-9,O=C(O)CCCCC(=O)O,O=C(O)CCCCC(=O)O,4.386666666666667,O=C(O)CCCCC(=O)O,146.142,0.716,74.6,2,2,5,0,0.666667,0,0,2,0,2,0,4,2,0,,111.83259466666668,0.52527,-0.71493,-0.02673999999999993,5.211295290040663,-9.7038520226805,0.9162073346335,10.620059357314
338-69-2,O=C(O)C(N)C,CC(N)C(=O)O,9.906,CC(N)C(=O)O,89.094,-0.5818,63.32,2,2,1,0,0.666667,0,0,1,0,1,0,2,1,0,,69.09084123333334,0.52599,-0.71257,-0.03724000000000005,2.180287148519662,-8.830094448725001,0.9352553041685,9.765349752893501
107-97-1,O=C(O)CNC,CNCC(=O)O,10.058333333333332,CNCC(=O)O,89.094,-0.7096,49.33,2,2,2,0,0.666667,0,0,1,0,1,0,2,1,0,,68.71157983333335,0.52741,-0.71057,-0.02366999999999997,3.477602247238749,-8.206681617229501,0.9608340061155001,9.167515623345
149-91-7,O=C(O)C1=CC(O)=C(O)C(O)=C1,O=C(O)c1cc(O)c(O)c(O)c1,4.27,O=C(O)c1cc(O)c(O)c(O)c1,170.12,0.5016,97.99,4,4,1,1,0.0,0,0,1,0,1,0,2,1,0,,145.925735,0.5289,-0.70576,-0.03332999999999997,3.0252920520174573,-7.8319808450910005,-0.35646914415500003,7.475511700936001
634-97-9,O=C(O)C1=CC=CN1,O=C(O)c1ccc[nH]1,4.475,O=C(O)c1ccc[nH]1,111.1,0.7129,53.09,1,2,1,1,0.0,0,0,1,0,1,0,2,1,0,,103.27105563333333,0.52734,-0.70614,-0.08067000000000002,1.9812582769543197,-7.9547041916665,-0.03809593907,7.9166082525965
121-34-6,O=C(O)C1=CC=C(O)C(OC)=C1,COc1cc(C(=O)O)ccc1O,4.49,COc1cc(C(=O)O)ccc1O,168.148,1.099,66.76,3,2,2,1,0.125,0,0,1,0,1,0,2,1,0,,156.8445025,0.52788,-0.70774,-0.04233000000000009,1.6292289372583584,-7.7315708342565,-0.336332719218,7.3952381150385
611-71-2,O=C(O)C(O)C=1C=CC=CC1,O=C(O)C(O)c1ccccc1,3.165,O=C(O)C(O)c1ccccc1,152.149,0.8046,57.53,2,2,2,1,0.125,0,0,1,0,1,0,2,1,0,,142.681626,0.53102,-0.70296,0.0029199999999999227,5.0481054990956755,-8.501108803470501,0.42096012672349997,8.922068930194001
