cas,smiles,input_canonical_smiles,canonical_smiles,MW,logP,TPSA,HBA,HBD,rotatable_bonds,aromatic_rings,FractionCSP3,formal_charge,acid_type,acid_group_count,acid_center_aromatic_flag,local_heteroatom_count,local_halogen_count,nearest_heteroatom_distance,local_conjugation,local_formal_charge,error
883-62-5,O=C(O)C1=CC=2C=CC=CC2C=C1OC,COc1cc2ccccc2cc1C(=O)O,COc1cc2ccccc2cc1C(=O)O,202.209,2.5466,46.53,2,1,2,2,0.083333,0,0,1,0,1,0,2,1,0,
652-18-6,O=C(O)C=1C(F)=C(F)C=C(F)C1F,O=C(O)c1c(F)c(F)cc(F)c1F,O=C(O)c1c(F)c(F)cc(F)c1F,194.083,1.9412,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,
10541-83-0,O=C(O)C1=CC=C(C=C1)NC,CNc1ccc(C(=O)O)cc1,CNc1ccc(C(=O)O)cc1,151.165,1.4265,49.33,2,2,2,1,0.125,0,0,1,0,1,0,2,1,0,
1798-11-4,O=C(O)COC1=CC=C(C=C1)N(=O)=O,O=C(O)COc1ccc([N+](=O)[O-])cc1,O=C(O)COc1ccc([N+](=O)[O-])cc1,197.146,1.0582,89.67,4,1,4,1,0.125,0,0,1,0,1,0,2,1,0,
3695-73-6,O=C(O)C(NC(=O)CN)C,CC(NC(=O)CN)C(=O)O,CC(NC(=O)CN)C(=O)O,146.146,-1.4656,92.42,3,3,3,0,0.6,0,0,1,0,1,0,2,1,0,
652-34-6,O=C(O)C1=C(F)C(F)=C(O)C(F)=C1F,O=C(O)c1c(F)c(F)c(O)c(F)c1F,O=C(O)c1c(F)c(F)c(O)c(F)c1F,210.082,1.6468,57.53,2,2,1,1,0.0,0,0,1,0,1,0,2,1,0,
601-79-6,O=C(O)C(C(=O)O)C(C)C,CC(C)C(C(=O)O)C(=O)O,CC(C)C(C(=O)O)C(=O)O,146.142,0.4278,74.6,2,2,3,0,0.666667,0,0,2,0,2,0,4,2,0,
25055-86-1,O=C(O)CCC1(N=N1)C,CC1(CCC(=O)O)N=N1,CC1(CCC(=O)O)N=N1,128.131,1.0332,62.02,3,1,3,0,0.8,0,0,1,0,1,0,2,1,0,
5657-17-0,O=C(O)CNCCNCC(=O)O,O=C(O)CNCCNCC(=O)O,O=C(O)CNCCNCC(=O)O,176.172,-1.6652,98.66,4,4,7,0,0.666667,0,0,2,0,2,0,4,2,0,
16034-49-4,O=C(O)CN1N=C(C=C1C)C,Cc1cc(C)n(CC(=O)O)n1,Cc1cc(C)n(CC(=O)O)n1,154.169,0.58454,55.12,2,1,2,1,0.428571,0,0,1,0,1,0,2,1,0,
