cas,smiles,input_canonical_smiles,pka_value,canonical_smiles,MW,logP,TPSA,HBA,HBD,rotatable_bonds,aromatic_rings,FractionCSP3,formal_charge,acid_type,acid_group_count,acid_center_aromatic_flag,local_heteroatom_count,local_halogen_count,nearest_heteroatom_distance,local_conjugation,local_formal_charge,error,polar,h_nbo_charge,o_nbo_charge,total_nbo_charge,dipole_moment_debye,homo_ev,lumo_ev,gap_ev
24065-33-6,O=C(O)C=1SC(Cl)=CC1,O=C(O)c1ccc(Cl)s1,3.3150000000000004,O=C(O)c1ccc(Cl)s1,162.597,2.0997,37.3,2,1,1,1,0.0,0,0,1,0,1,0,2,1,0,,129.20312466666667,0.53414,-0.7042,-0.03424,0.8751234770019599,-8.4107670051045,-0.8851863556765001,7.525580649428
530-57-4,O=C(O)C1=CC(OC)=C(O)C(OC)=C1,COc1cc(C(=O)O)cc(OC)c1O,4.34,COc1cc(C(=O)O)cc(OC)c1O,198.174,1.1076,75.99,4,2,3,1,0.222222,0,0,1,0,1,0,2,1,0,,180.8500873333333,0.52874,-0.70736,-0.0378,0.7898850169486695,-7.628983912618,-0.359734510361,7.269249402257
619-66-9,O=CC1=CC=C(C=C1)C(=O)O,O=Cc1ccc(C(=O)O)cc1,3.76,O=Cc1ccc(C(=O)O)cc1,150.133,1.1973,54.37,2,1,2,1,0.0,0,0,1,0,1,0,2,1,0,,148.47409596666665,0.53174,-0.69855,-0.0066699999999999,2.10993301789417,-9.0028867437925,-1.447101456959,7.555785286833499
93-07-2,O=C(O)C1=CC=C(OC)C(OC)=C1,COc1ccc(C(=O)O)cc1OC,4.395,COc1ccc(C(=O)O)cc1OC,182.175,1.402,55.76,3,1,3,1,0.222222,0,0,1,0,1,0,2,1,0,,174.993258,0.52771,-0.70792,-0.04266,3.490459572892945,-7.621092610953499,-0.3251760513475,7.295916559605999
93-10-7,O=C(O)C=1N=C2C=CC=CC2=CC1,O=C(O)c1ccc2ccccc2n1,4.864,O=C(O)c1ccc2ccccc2n1,173.171,1.933,50.19,2,1,1,2,0.0,0,0,1,0,1,0,2,1,0,,194.88338320000005,0.53261,-0.6983,-0.0117599999999999,6.265262565128456,-8.088856319963002,-1.1507694737645,6.938086846198502
99-94-5,O=C(O)C1=CC=C(C=C1)C,Cc1ccc(C(=O)O)cc1,4.383333333333334,Cc1ccc(C(=O)O)cc1,136.15,1.69322,37.3,1,1,1,1,0.125,0,0,1,0,1,0,2,1,0,,142.85516456666667,0.52845,-0.70673,-0.0354799999999999,3.856975237151517,-8.479883923131501,-0.4231370375275,8.056746885604001
74-11-3,O=C(O)C1=CC=C(Cl)C=C1,O=C(O)c1ccc(Cl)cc1,3.988,O=C(O)c1ccc(Cl)cc1,156.568,2.0382,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,,138.57066833333334,0.53057,-0.7023,-0.01789,2.269491178656573,-8.670091504631001,-0.650352102695,8.019739401936
586-76-5,O=C(O)C1=CC=C(Br)C=C1,O=C(O)c1ccc(Br)cc1,3.963,O=C(O)c1ccc(Br)cc1,201.019,2.1473,37.3,1,1,1,1,0.0,0,0,1,0,1,0,2,1,0,,148.8233551,0.53072,-0.70188,-0.01638,2.26992756932903,-8.565055558337999,-0.6827336509045,7.882321907433499
104-01-8,O=C(O)CC1=CC=C(OC)C=C1,COc1ccc(CC(=O)O)cc1,4.07,COc1ccc(CC(=O)O)cc1,166.176,1.3223,46.53,2,1,3,1,0.222222,0,0,1,0,1,0,2,1,0,,160.535461,0.52695,-0.71121,-0.01129,1.7662194257792545,-7.650753020658001,0.6250455145985,8.2757985352565
501-52-0,O=C(O)CCC=1C=CC=CC1,O=C(O)CCc1ccccc1,4.688,O=C(O)CCc1ccccc1,150.177,1.7038,37.3,1,1,3,1,0.222222,0,0,1,0,1,0,2,1,0,,152.84496566666667,0.52493,-0.71283,-0.02478,2.7326879697470035,-8.240695848542,0.6941624326255,8.9348582811675
