Smiles,pKa,predicted_pKa,canonical_smiles,MW,logP,TPSA,HBA,HBD,rotatable_bonds,aromatic_rings,FractionCSP3,formal_charge,acid_type,acid_group_count,acid_center_aromatic_flag,local_heteroatom_count,local_halogen_count,nearest_heteroatom_distance,local_conjugation,local_formal_charge,error
CCOP(=O)(OCC)c1cccc(C(=O)O)c1,3.73,3.85,CCOP(=O)(OCC)c1cccc(C(=O)O)c1,258.21,2.2762,72.83,4,1,6,1,0.363636,0,0,1,0,1,0,2,1,0,
CCOc1ccc(C(=O)O)c(C(=O)O)c1,2.74,3.69,CCOc1ccc(C(=O)O)c(C(=O)O)c1,210.185,1.4817,83.83,3,2,4,1,0.2,0,0,2,0,2,0,4,2,0,
CCOc1ccc(C(=O)O)c(O)c1,3.2,3.48,CCOc1ccc(C(=O)O)c(O)c1,182.175,1.4891,66.76,3,2,3,1,0.222222,0,0,1,0,1,0,2,1,0,
CN(C)c1ccc(/N=N/c2ccccc2C(=O)O)cc1,4.82,2.73,CN(C)c1ccc(/N=N/c2ccccc2C(=O)O)cc1,269.304,3.8662,65.26,4,1,4,2,0.133333,0,0,1,0,1,0,2,1,0,
CN(C)c1ccc(C(=O)O)cc1,5.03,4.65,CN(C)c1ccc(C(=O)O)cc1,165.192,1.4508,40.54,2,1,2,1,0.222222,0,0,1,0,1,0,2,1,0,
CN(C)c1cccc(C(=O)O)c1,5.1,4.38,CN(C)c1cccc(C(=O)O)c1,165.192,1.4508,40.54,2,1,2,1,0.222222,0,0,1,0,1,0,2,1,0,
CN(C)c1ccccc1C(=O)O,8.5,8.68,CN(C)c1ccccc1C(=O)O,165.192,1.4508,40.54,2,1,2,1,0.222222,0,0,1,0,1,0,2,1,0,
CNc1ccc(C(=O)O)cc1,5.04,4.52,CNc1ccc(C(=O)O)cc1,151.165,1.4265,49.33,2,2,2,1,0.125,0,0,1,0,1,0,2,1,0,
CNc1cccc(C(=O)O)c1,5.1,4.43,CNc1cccc(C(=O)O)c1,151.165,1.4265,49.33,2,2,2,1,0.125,0,0,1,0,1,0,2,1,0,
CNc1ccccc1C(=O)O,5.34,4.06,CNc1ccccc1C(=O)O,151.165,1.4265,49.33,2,2,2,1,0.125,0,0,1,0,1,0,2,1,0,
COP(=O)(OC)c1ccc(C(=O)O)cc1,3.61,3.99,COP(=O)(OC)c1ccc(C(=O)O)cc1,230.156,1.496,72.83,4,1,4,1,0.222222,0,0,1,0,1,0,2,1,0,
COP(=O)(OC)c1cccc(C(=O)O)c1,3.74,3.84,COP(=O)(OC)c1cccc(C(=O)O)c1,230.156,1.496,72.83,4,1,4,1,0.222222,0,0,1,0,1,0,2,1,0,
COc1cc(C(=O)O)cc(OC)c1O,4.34,4.45,COc1cc(C(=O)O)cc(OC)c1O,198.174,1.1076,75.99,4,2,3,1,0.222222,0,0,1,0,1,0,2,1,0,
COc1cc(C(=O)O)cc(OC)c1OC,4.166666666666667,4.48,COc1cc(C(=O)O)cc(OC)c1OC,212.201,1.4106,64.99,4,1,4,1,0.3,0,0,1,0,1,0,2,1,0,
COc1cc(C(=O)O)cc([N+](=O)[O-])c1O,4.12,3.67,COc1cc(C(=O)O)cc([N+](=O)[O-])c1O,213.145,1.0072,109.9,5,2,3,1,0.125,0,0,1,0,1,0,2,1,0,
COc1cc(C(=O)O)ccc1O,4.49,4.53,COc1cc(C(=O)O)ccc1O,168.148,1.099,66.76,3,2,2,1,0.125,0,0,1,0,1,0,2,1,0,
COc1cc(OC)cc(C(=O)O)c1,3.97,4.51,COc1cc(OC)cc(C(=O)O)c1,182.175,1.402,55.76,3,1,3,1,0.222222,0,0,1,0,1,0,2,1,0,
COc1cc([N+](=O)[O-])cc(C(=O)O)c1O,2.58,1.96,COc1cc([N+](=O)[O-])cc(C(=O)O)c1O,213.145,1.0072,109.9,5,2,3,1,0.125,0,0,1,0,1,0,2,1,0,
COc1cc2ccccc2cc1C(=O)O,3.8,4.13,COc1cc2ccccc2cc1C(=O)O,202.209,2.5466,46.53,2,1,2,2,0.083333,0,0,1,0,1,0,2,1,0,
COc1ccc(C(=O)O)c(C(=O)O)c1,2.67,3.63,COc1ccc(C(=O)O)c(C(=O)O)c1,196.158,1.0916,83.83,3,2,3,1,0.111111,0,0,2,0,2,0,4,2,0,
COc1ccc(C(=O)O)c(N)c1,4.88,4.24,COc1ccc(C(=O)O)c(N)c1,167.164,0.9756,72.55,3,2,2,1,0.125,0,0,1,0,1,0,2,1,0,
COc1ccc(C(=O)O)c(O)c1,3.31,3.47,COc1ccc(C(=O)O)c(O)c1,168.148,1.099,66.76,3,2,2,1,0.125,0,0,1,0,1,0,2,1,0,
COc1ccc(C(=O)O)c(OC)c1,4.36,4.56,COc1ccc(C(=O)O)c(OC)c1,182.175,1.402,55.76,3,1,3,1,0.222222,0,0,1,0,1,0,2,1,0,
COc1ccc(C(=O)O)c2ccccc12,4.31,4.5,COc1ccc(C(=O)O)c2ccccc12,202.209,2.5466,46.53,2,1,2,2,0.083333,0,0,1,0,1,0,2,1,0,
COc1ccc(C(=O)O)cc1,4.2783750000000005,4.54,COc1ccc(C(=O)O)cc1,152.149,1.3934,46.53,2,1,2,1,0.125,0,0,1,0,1,0,2,1,0,
COc1ccc(C(=O)O)cc1O,4.47,4.54,COc1ccc(C(=O)O)cc1O,168.148,1.099,66.76,3,2,2,1,0.125,0,0,1,0,1,0,2,1,0,
COc1ccc(C(=O)O)cc1OC,4.395,4.52,COc1ccc(C(=O)O)cc1OC,182.175,1.402,55.76,3,1,3,1,0.222222,0,0,1,0,1,0,2,1,0,
COc1ccc(C=O)c(C(=O)O)c1OC,3.065,3.29,COc1ccc(C=O)c(C(=O)O)c1OC,210.185,1.2145,72.83,4,1,4,1,0.2,0,0,1,0,1,0,2,1,0,
