SMILES,pka_value
N[C@@H](CCC(=O)O)C(=O)O,2.246
N[C@@H](CCC(=O)OCc1ccccc1)C(=O)O,2.17
N[C@@H](CCC(F)(F)F)C(=O)O,2.04
N[C@@H](CCCC(F)(F)F)C(=O)O,2.16
N[C@@H](CCS)C(=O)O,2.222
N[C@@H](CCSSCC[C@H](N)C(=O)O)C(=O)O,2.537
N[C@@H](CO)C(=O)NCC(=O)O,3.1
N[C@@H](CO)C(=O)N[C@@H](CCC(=O)O)C(=O)O,2.94
N[C@@H](CO)C(=O)O,2.1912
N[C@@H](CS(=O)(=O)O)C(=O)O,1.3
N[C@@H](CS)C(=O)O,1.71
N[C@@H](Cc1c[nH]c(S)n1)C(=O)O,1.84
N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,2.4450000000000003
N[C@@H](Cc1c[nH]nn1)C(=O)O,1.95
N[C@@H](Cc1cc(Br)c(O)c(Br)c1)C(=O)O,2.17
N[C@@H](Cc1cc(Cl)c(O)c(Cl)c1)C(=O)O,2.12
N[C@@H](Cc1cc[nH]n1)C(=O)O,2.1
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,2.32
N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,3.52
N[C@@H](Cc1ccc(O)cc1)C(=O)O,2.25
N[C@@H](Cc1ccccc1)C(=O)NCC(=O)O,3.0999999999999996
N[C@@H](Cc1ccccc1)C(=O)O,2.3866666666666667
N[C@@H](Cc1cn(Cc2ccccc2)cn1)C(=O)O,5.36
N[C@@H](Cc1cnc[nH]1)C(=O)O,6.138571428571429
N[C@H](C(=O)O)C(O)CC(=O)O,2.27
N[C@H](C(=O)O)[C@H](O)C(F)(F)F,1.55
Nc1c(NCC(=O)O)nc(Cl)nc1C(=O)O,3.05
Nc1cc(Br)ccc1C(=O)O,1.24
Nc1cc(C(=O)O)c2ccccc2c1,2.61
Nc1cc(C(=O)O)cc([N+](=O)[O-])c1,1.55
Nc1cc(C(=O)O)cc2ccccc12,2.89
Nc1cc(Cl)ccc1C(=O)O,1.21
Nc1cc(F)ccc1C(=O)O,1.42
Nc1ccc(Br)cc1C(=O)O,1.6
Nc1ccc(C(=O)O)cc1,2.39975
Nc1ccc(C(=O)O)cc1N,3.49
Nc1ccc(Cl)cc1C(=O)O,1.69
Nc1ccc(F)cc1C(=O)O,2.03
Nc1ccc(O)cc1C(=O)O,2.72
Nc1ccc(Oc2ccccc2)cc1C(=O)O,2.34
Nc1cccc(C(=O)O)c1,3.0677142857142856
Nc1ccccc1C(=O)O,2.084
O=C(CCNC(=O)OCc1ccccc1)N[C@@H](Cc1cnc[nH]1)C(=O)O,2.69
O=C(O)C1CCCC(C(=O)O)N1,2.54
O=C(O)C1CSCN1,1.65
O=C(O)CC(NCc1ccccc1)C(=O)O,2.06
O=C(O)CCN(CC(=O)O)CC(=O)O,1.9
O=C(O)CCP(CCC(=O)O)CCC(=O)O,2.89
O=C(O)CCc1ncc[nH]1,3.95
O=C(O)CN(CC(=O)O)C1CCCCC1,1.62
O=C(O)CN(CC(=O)O)CC(=O)Nc1ccc(Br)cc1,1.6
O=C(O)CN(CC(=O)O)CC(=O)c1ccccc1,1.25
O=C(O)CN(CC(=O)O)CC(=O)c1cccs1,1.95
O=C(O)CN(CC(=O)O)Cc1ccc([N+](=O)[O-])cc1,1.8
O=C(O)CN(CC(=O)O)Cc1ccccc1,1.49
O=C(O)CN(CC(=O)O)Cc1ccccc1[N+](=O)[O-],1.99
O=C(O)CN(CC(=O)O)Cc1ccccn1,2.83
O=C(O)CN(CCO)CC(=O)O,2.1225
O=C(O)CN(CCO)CCO,2.1550000000000002
O=C(O)CN(CP(=O)(O)O)CP(=O)(O)O,1.73
O=C(O)CN1C(C(=O)O)CCCC1C(=O)O,1.3
O=C(O)CN1CCCCC1,1.98
O=C(O)CN1CCOCC1,1.91
O=C(O)CNC(=O)[C@H](Cc1cnc[nH]1)NC(=O)CNC(=O)OCc1ccccc1,6.7
O=C(O)CNCC(=O)O,2.686666666666666
O=C(O)CNc1ccc(Cl)cc1,1.46
O=C(O)CNc1cccc(Cl)c1,1.05
O=C(O)CNc1ccccc1,1.83
O=C(O)C[C@H](NO)C(=O)O,1.91
O=C(O)Cc1c[nH]cn1,3.04
O=C(O)Cc1ccccn1,2.57
O=C(O)[C@@H]1CCCN1,1.952
O=C(O)c1c[nH]cn1,1.97
O=C(O)c1cccc(C(=O)O)n1,2.165
O=C(O)c1cccc(CO)n1,1.2
O=C(O)c1cccc2cccnc12,1.89
O=C(O)c1ccccn1,1.05
O=C(O)c1cccnc1,2.035
O=C(O)c1cccnc1C(=O)O,2.395
O=C(O)c1ccncc1,1.7349999999999999
O=C(O)c1ccncc1C(=O)O,1.5
O=C(O)c1cncc(C(=O)O)c1,1.1
