SMILES,pka_value
C[S+](C)c1ccc(C(=O)O)cc1,3.3
C[S+](C)c1cccc(C(=O)O)c1,3.2
C[Si](C)(C)c1ccc(C(=O)O)cc1,4.234
C[Si](C)(C)c1cccc(C(=O)O)c1,4.1645
Cc1c(C(=O)O)nnn1-c1ccccc1,3.73
Cc1c(F)c(F)c(C(=O)O)c(F)c1F,2.0
Cc1cc(=O)c(C(=O)O)c(C)o1,3.36
Cc1cc(C(=O)O)c2ccccc2c1,3.72
Cc1cc(C(=O)O)cc(C)c1C,4.52
Cc1cc(C)c(C(=O)O)c(C)c1,3.498
Cc1cc(C)c(C(=O)O)cc1C,4.38
Cc1cc(C)c(C)c(C(=O)O)c1,4.01
Cc1cc(C)c(C)c(C(=O)O)c1C,3.416
Cc1cc(C)cc(C(=O)O)c1,4.343999999999999
Cc1cc(C)cc(OCC(=O)O)c1,3.2
Cc1cc(C)n(CC(=O)O)n1,3.9
Cc1cc(Cl)ccc1OCC(=O)O,3.107
Cc1cc([N+](=O)[O-])c(C)c(C(=O)O)c1O,2.78
Cc1cc2ccccc2c(C(=O)O)c1C,2.831
Cc1ccc(C(=O)O)[nH]1,4.88
Cc1ccc(C(=O)O)[se]1,3.82
Cc1ccc(C(=O)O)c(C)c1,4.2595
Cc1ccc(C(=O)O)c(C)c1C,4.06
Cc1ccc(C(=O)O)c(N)c1,5.07
Cc1ccc(C(=O)O)c(O)c1,3.1630000000000003
Cc1ccc(C(=O)O)cc1,4.383333333333334
Cc1ccc(C(=O)O)cc1C,4.5
Cc1ccc(C(=O)O)s1,3.73
Cc1ccc(C(=O)c2ccccc2C(=O)O)cc1,3.644
Cc1ccc(C)c(C(=O)O)c1,4.0205
Cc1ccc(C)c(C(=O)O)c1C,3.34
Cc1ccc(C)c(C(=O)O)c1O,3.23
Cc1ccc(C)c(C(O)C(=O)O)c1,3.57
Cc1ccc(C2CC2C(=O)O)cc1,4.6
Cc1ccc(CC(=O)O)cc1,4.07025
Cc1ccc(CCC(=O)O)cc1,4.74
Cc1ccc(N)c(C(=O)O)c1,5.13
Cc1ccc(NCC(=O)O)cc1,4.85
Cc1ccc(O)c(C(=O)O)c1,3.026666666666667
Cc1ccc(S(=O)(=O)CC(=O)O)cc1,2.542
Cc1ccc(S(=O)CC(=O)O)cc1,2.74
Cc1ccc(SCC(=O)O)cc1,3.689
Cc1ccc2ccccc2c1C(=O)O,3.034
Cc1cccc(=O)c(O)c1C(=O)O,2.48
Cc1cccc(C(=O)O)c1,4.272666666666667
Cc1cccc(C(=O)O)c1C,3.758
Cc1cccc(C(=O)O)c1O,2.971
Cc1cccc(C(=O)O)n1,5.83
Cc1cccc(C)c1C(=O)O,3.307
Cc1cccc(NCC(=O)O)c1,4.6
Cc1cccc(O)c(=O)c1C(=O)O,3.15
Cc1cccc(O)c1C(=O)O,3.24
Cc1cccc(S(=O)(=O)CC(=O)O)c1,2.567
Cc1cccc(S(=O)CC(=O)O)c1,2.756
Cc1cccc(SCC(=O)O)c1,3.604
Cc1cccc2[nH]cc(CC(N)C(=O)O)c12,16.9
Cc1cccc2c1[C@H](C(=O)O)[C@@]13CC(=O)[C@@](C)(CC[C@H]21)C3,4.24
Cc1ccccc1C(=O)O,3.914
Cc1csc(C(=O)O)c1,3.6366666666666667
Cc1csc(C(=O)O)n1,3.18
Cc1nc(C)c(C(=O)O)cc1C(=O)O,2.81
Cc1nc[nH]c1C(=O)O,7.01
Cc1ncc(CO)c(C=NC(C(=O)O)C(C)OP(=O)(O)O)c1O,10.48
Cc1ncc(CO)c(C=N[C@H](C(=O)O)[C@@H](C)O)c1O,9.89
Cc1ncoc1C(=O)O,2.88
Cl/C=C/C(=O)O,3.79
ClC1=CC=C(C=C1)[C@H]1[C@@H](C1)C(=O)O,4.53
ClC=1C=C(C=CC1)[C@H]1[C@@H](C1)C(=O)O,4.51
Cl[C@@H]1CC[C@H](CC1)C(=O)O,4.58
Cl\C=C/C(=O)O,3.45
