Smiles,pKa,predicted_pKa
C[C@H]1[C@@H](C1)C(=O)O,5.0,4.75
C[N+](C)(C)c1ccc(CC(=O)O)cc1.[I-],3.75,4.11
C[N+](C)(C)c1ccc(CCC(=O)O)cc1.[I-],4.22,4.45
C[N+](C)(C)c1cccc(CC(=O)O)c1.[I-],3.66,4.1
C[N+](C)(C)c1cccc(CCC(=O)O)c1.[I-],4.17,4.4
C[S+](C)c1ccc(C(=O)O)cc1,3.3,3.82
C[S+](C)c1cccc(C(=O)O)c1,3.2,3.52
C[Si](C)(C)c1ccc(C(=O)O)cc1,4.234,4.11
C[Si](C)(C)c1cccc(C(=O)O)c1,4.1645,4.02
Cc1c(C(=O)O)nnn1-c1ccccc1,3.73,1.7
Cc1c(F)c(F)c(C(=O)O)c(F)c1F,2.0,1.83
Cc1cc(=O)c(C(=O)O)c(C)o1,3.36,1.74
Cc1cc(C(=O)O)c2ccccc2c1,3.72,3.91
Cc1cc(C(=O)O)cc(C)c1C,4.52,4.24
Cc1cc(C)c(C(=O)O)c(C)c1,3.498,3.35
Cc1cc(C)c(C(=O)O)cc1C,4.38,3.95
Cc1cc(C)c(C)c(C(=O)O)c1,4.01,3.64
Cc1cc(C)c(C)c(C(=O)O)c1C,3.416,3.48
Cc1cc(C)cc(C(=O)O)c1,4.343999999999999,4.24
Cc1cc(C)cc(OCC(=O)O)c1,3.2,3.37
Cc1cc(C)n(CC(=O)O)n1,3.9,1.6
Cc1cc(Cl)ccc1OCC(=O)O,3.107,3.32
Cc1cc([N+](=O)[O-])c(C)c(C(=O)O)c1O,2.78,2.42
Cc1cc2ccccc2c(C(=O)O)c1C,2.831,3.33
Cc1ccc(C(=O)O)[nH]1,4.88,4.12
Cc1ccc(C(=O)O)[se]1,3.82,3.33
Cc1ccc(C(=O)O)c(C)c1,4.2595,4.0
Cc1ccc(C(=O)O)c(C)c1C,4.06,3.63
Cc1ccc(C(=O)O)c(N)c1,5.07,4.1
Cc1ccc(C(=O)O)c(O)c1,3.1630000000000003,3.27
Cc1ccc(C(=O)O)cc1,4.383333333333334,4.21
Cc1ccc(C(=O)O)cc1C,4.5,4.18
Cc1ccc(C(=O)O)s1,3.73,3.32
Cc1ccc(C(=O)c2ccccc2C(=O)O)cc1,3.644,3.63
Cc1ccc(C)c(C(=O)O)c1,4.0205,3.95
Cc1ccc(C)c(C(=O)O)c1C,3.34,3.35
Cc1ccc(C)c(C(=O)O)c1O,3.23,2.2
Cc1ccc(C)c(C(O)C(=O)O)c1,3.57,3.54
Cc1ccc(C2CC2C(=O)O)cc1,4.6,4.57
Cc1ccc(CC(=O)O)cc1,4.07025,4.18
Cc1ccc(CCC(=O)O)cc1,4.74,4.45
Cc1ccc(N)c(C(=O)O)c1,5.13,4.03
Cc1ccc(NCC(=O)O)cc1,4.85,3.45
Cc1ccc(O)c(C(=O)O)c1,3.026666666666667,3.24
Cc1ccc(S(=O)(=O)CC(=O)O)cc1,2.542,2.75
Cc1ccc(S(=O)CC(=O)O)cc1,2.74,2.79
Cc1ccc(SCC(=O)O)cc1,3.689,3.72
Cc1ccc2ccccc2c1C(=O)O,3.034,3.3
Cc1cccc(=O)c(O)c1C(=O)O,2.48,1.26
Cc1cccc(C(=O)O)c1,4.272666666666667,4.05
Cc1cccc(C(=O)O)c1C,3.758,3.65
Cc1cccc(C(=O)O)c1O,2.971,3.15
Cc1cccc(C(=O)O)n1,5.83,1.75
Cc1cccc(C)c1C(=O)O,3.307,3.3
Cc1cccc(NCC(=O)O)c1,4.6,3.43
Cc1cccc(O)c(=O)c1C(=O)O,3.15,2.07
Cc1cccc(O)c1C(=O)O,3.24,1.91
Cc1cccc(S(=O)(=O)CC(=O)O)c1,2.567,2.82
Cc1cccc(S(=O)CC(=O)O)c1,2.756,2.85
Cc1cccc(SCC(=O)O)c1,3.604,3.68
Cc1cccc2[nH]cc(CC(N)C(=O)O)c12,16.9,2.51
Cc1cccc2c1[C@H](C(=O)O)[C@@]13CC(=O)[C@@](C)(CC[C@H]21)C3,4.24,4.15
Cc1ccccc1C(=O)O,3.914,3.91
Cc1csc(C(=O)O)c1,3.6366666666666654,3.55
Cc1csc(C(=O)O)n1,3.18,1.83
Cc1nc(C)c(C(=O)O)cc1C(=O)O,2.81,2.13
Cc1nc[nH]c1C(=O)O,7.01,1.86
Cc1ncc(CO)c(C=NC(C(=O)O)C(C)OP(=O)(O)O)c1O,10.48,1.25
Cc1ncc(CO)c(C=N[C@H](C(=O)O)[C@@H](C)O)c1O,9.89,2.47
Cc1ncoc1C(=O)O,2.88,2.0
ClC1=CC=C(C=C1)[C@H]1[C@@H](C1)C(=O)O,4.53,4.57
ClC=1C=C(C=CC1)[C@H]1[C@@H](C1)C(=O)O,4.51,4.55
Cl[C@@H]1CC[C@H](CC1)C(=O)O,4.58,4.67
Cn1ccnc1C(=O)O,7.25,4.36
Cn1cnc(C[C@H](NC(=O)CCN)C(=O)O)c1,9.49,3.16
FC1=C(C=CC=C1)/C=C/C(=O)O,4.28,4.33
F[B-](F)(F)F.N#[N+]c1ccc(CC(=O)O)cc1,3.24,4.16
N#CC12CCC(C(=O)O)(CC1)C2,4.227,4.21
N#CC12CCC(C(=O)O)(CC1)CC2,4.545,5.93
N#CC1CCC(C(=O)O)CC1,4.48,4.64
N#Cc1ccc(C(=O)O)c(O)c1,2.35,2.35
N#Cc1ccc(O)c(C(=O)O)c1,2.38,2.46
N#Cc1ccc(OCC(=O)O)cc1,2.87,3.38
N#Cc1cccc(NCC(=O)O)c1,3.78,3.48
N=C(N)NCCC[C@@H](NC(=O)[C@H](N)Cc1ccc(O)cc1)C(=O)O,9.58,3.15
NC(=O)NCCCC(NC(=O)c1ccccc1)C(=O)O,3.5575,3.32
NC(CC(=O)O)c1ccccc1,9.31,2.55
NC(Cc1c(F)c(F)c(F)c(F)c1F)C(=O)O,8.47,2.44
NC(Cc1c[nH]c2ccc(O)cc12)C(=O)O,17.95,2.51
NC(Cc1c[nH]cn1)C(=O)O,9.16,2.58
NC1=NC(C(=O)O)CS1,8.48,2.52
NCC(=O)N1CCC[C@H]1C(=O)O,8.5925,2.99
NCC(=O)NCC(=O)NCC(=O)NC(Cc1c[nH]cn1)C(=O)O,8.11,3.15
NCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O,8.06,3.13
NCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O,8.24,3.15
NCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,8.24,3.14
NCC(=O)N[C@@H](Cc1ccccc1)C(=O)O,8.245000000000001,3.13
NCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](CCC(=O)O)C(=O)O,6.65,3.09
NCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O,8.2,3.15
NCc1ccc(CCC(=O)O)cc1,4.28,4.25
NCc1ccccc1CCC(=O)O,4.22,4.21
NS(=O)(=O)c1ccc(C(=O)O)cc1,3.47,3.69
NS(=O)(=O)c1cccc(C(=O)O)c1,3.54,3.8
