cas,smiles,canonical_smiles,pka_value
1918-79-2,O=C(O)C=1SC(=CC1)C,Cc1ccc(C(=O)O)s1,3.73
480-63-7,O=C(O)C=1C(=CC(=CC1C)C)C,Cc1cc(C)c(C(=O)O)c(C)c1,3.498
874-61-3,O=C(O)C1CCC(=O)CC1,O=C1CCC(C(=O)O)CC1,4.38
500-05-0,O=C1OC=C(C=C1)C(=O)O,O=C(O)c1ccc(=O)oc1,3.26
6317-37-9,O=C(O)C=1SC(=CC1)N(=O)=O,O=C(O)c1ccc([N+](=O)[O-])s1,2.68
619-21-6,O=CC1=CC=CC(=C1)C(=O)O,O=Cc1cccc(C(=O)O)c1,3.84
331-25-9,O=C(O)CC=1C=CC=C(F)C1,O=C(O)Cc1cccc(F)c1,3.8535
619-17-0,O=C(O)C1=CC=C(C=C1N)N(=O)=O,Nc1cc([N+](=O)[O-])ccc1C(=O)O,3.7
75-98-9,O=C(O)C(C)(C)C,CC(C)(C)C(=O)O,5.1555
68-11-1,O=C(O)CS,O=C(O)CS,3.557
107-92-6,O=C(O)CCC,CCCC(=O)O,4.8175
24830-94-2,O=C(O)C(N)C(O)C,CC(O)C(N)C(=O)O,9.03
499-06-9,O=C(O)C=1C=C(C=C(C1)C)C,Cc1cc(C)cc(C(=O)O)c1,4.343999999999999
632-46-2,O=C(O)C=1C(=CC=CC1C)C,Cc1cccc(C)c1C(=O)O,3.307
610-72-0,O=C(O)C1=CC(=CC=C1C)C,Cc1ccc(C)c(C(=O)O)c1,4.0205
99-64-9,O=C(O)C1=CC=CC(=C1)N(C)C,CN(C)c1cccc(C(=O)O)c1,5.1
4767-03-7,O=C(O)C(C)(CO)CO,CC(CO)(CO)C(=O)O,4.5
498-21-5,O=C(O)CC(C(=O)O)C,CC(CC(=O)O)C(=O)O,3.94
142-73-4,O=C(O)CNCC(=O)O,O=C(O)CNCC(=O)O,9.46
50-85-1,O=C(O)C1=CC=C(C=C1O)C,Cc1ccc(C(=O)O)c(O)c1,3.1630000000000003
86-59-9,O=C(O)C1=CC=CC2=CC=CN=C21,O=C(O)c1cccc2cccnc12,6.8
16642-79-8,O=C(O)CCC1=CC=C(C=C1)N(=O)=O,O=C(O)CCc1ccc([N+](=O)[O-])cc1,4.54
133-37-9,O=C(O)C(O)C(O)C(=O)O,O=C(O)C(O)C(O)C(=O)O,2.6
7782-24-3,O=C(O)C(C=1C=CC=CC1)C,CC(C(=O)O)c1ccccc1,4.3
611-01-8,O=C(O)C1=CC=C(C=C1C)C,Cc1ccc(C(=O)O)c(C)c1,4.2595
603-79-2,O=C(O)C1=CC=CC(=C1C)C,Cc1cccc(C(=O)O)c1C,3.758
91-52-1,O=C(O)C1=CC=C(OC)C=C1OC,COc1ccc(C(=O)O)c(OC)c1,4.36
499-80-9,O=C(O)C1=NC=CC(=C1)C(=O)O,O=C(O)c1ccnc(C(=O)O)c1,2.2
619-19-2,O=C(O)C1=CC=C(C=C1O)N(=O)=O,O=C(O)c1ccc([N+](=O)[O-])cc1O,2.27
79-08-3,O=C(O)CBr,O=C(O)CBr,3.093666666666666
141-82-2,O=C(O)CC(=O)O,O=C(O)CC(=O)O,2.959142857142857
601-75-2,O=C(O)C(C(=O)O)CC,CCC(C(=O)O)C(=O)O,2.975
80-68-2,O=C(O)C(N)C(O)C,CC(O)C(N)C(=O)O,9.03
565-71-9,O=C(O)C(O)CN,NCC(O)C(=O)O,9.33
70-49-5,O=C(O)CC(S)C(=O)O,O=C(O)CC(S)C(=O)O,2.8475
567-61-3,O=C(O)C=1C(O)=CC=CC1C,Cc1cccc(O)c1C(=O)O,3.24
2237-36-7,O=C(O)C1=CC=C(OC)C=C1O,COc1ccc(C(=O)O)c(O)c1,3.31
1878-65-5,O=C(O)CC=1C=CC=C(Cl)C1,O=C(O)Cc1cccc(Cl)c1,3.836
52950-18-2,O=C(O)C(O)C=1C=CC=CC1Cl,O=C(O)C(O)c1ccccc1Cl,3.31
